group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 12 part 1,,,,,1062771.0,ns,108
day 12 part 1,,,,,2117441.0,ns,216
day 12 part 1,,,,,3163910.0,ns,324
day 12 part 1,,,,,4117474.0,ns,432
day 12 part 1,,,,,4691312.0,ns,540
day 12 part 1,,,,,6484132.0,ns,648
day 12 part 1,,,,,7296885.0,ns,756
day 12 part 1,,,,,7995332.0,ns,864
day 12 part 1,,,,,8759383.0,ns,972
day 12 part 1,,,,,9649542.0,ns,1080
day 12 part 1,,,,,10043668.0,ns,1188
day 12 part 1,,,,,11848688.0,ns,1296
day 12 part 1,,,,,13304885.0,ns,1404
day 12 part 1,,,,,13902925.0,ns,1512
day 12 part 1,,,,,15636241.0,ns,1620
day 12 part 1,,,,,15294417.0,ns,1728
day 12 part 1,,,,,16247581.0,ns,1836
day 12 part 1,,,,,17088437.0,ns,1944
day 12 part 1,,,,,18064502.0,ns,2052
day 12 part 1,,,,,21378722.0,ns,2160
day 12 part 1,,,,,22709011.0,ns,2268
day 12 part 1,,,,,22534199.0,ns,2376
day 12 part 1,,,,,23891789.0,ns,2484
day 12 part 1,,,,,22939926.0,ns,2592
day 12 part 1,,,,,23970795.0,ns,2700
day 12 part 1,,,,,26620871.0,ns,2808
day 12 part 1,,,,,25773615.0,ns,2916
day 12 part 1,,,,,26898189.0,ns,3024
day 12 part 1,,,,,28683108.0,ns,3132
day 12 part 1,,,,,31971027.0,ns,3240
day 12 part 1,,,,,34086268.0,ns,3348
day 12 part 1,,,,,34768913.0,ns,3456
day 12 part 1,,,,,35121837.0,ns,3564
day 12 part 1,,,,,36324116.0,ns,3672
day 12 part 1,,,,,32251346.0,ns,3780
day 12 part 1,,,,,33913956.0,ns,3888
day 12 part 1,,,,,35624270.0,ns,3996
day 12 part 1,,,,,40355084.0,ns,4104
day 12 part 1,,,,,41570466.0,ns,4212
day 12 part 1,,,,,37986427.0,ns,4320
day 12 part 1,,,,,39881353.0,ns,4428
day 12 part 1,,,,,38588967.0,ns,4536
day 12 part 1,,,,,39626537.0,ns,4644
day 12 part 1,,,,,38570466.0,ns,4752
day 12 part 1,,,,,42387320.0,ns,4860
day 12 part 1,,,,,42570132.0,ns,4968
day 12 part 1,,,,,45008894.0,ns,5076
day 12 part 1,,,,,45953857.0,ns,5184
day 12 part 1,,,,,48203207.0,ns,5292
day 12 part 1,,,,,50710773.0,ns,5400
day 12 part 1,,,,,49677505.0,ns,5508
day 12 part 1,,,,,51685739.0,ns,5616
day 12 part 1,,,,,51360917.0,ns,5724
day 12 part 1,,,,,50885285.0,ns,5832
day 12 part 1,,,,,52041562.0,ns,5940
day 12 part 1,,,,,55478691.0,ns,6048
day 12 part 1,,,,,53685071.0,ns,6156
day 12 part 1,,,,,52917921.0,ns,6264
day 12 part 1,,,,,56060429.0,ns,6372
day 12 part 1,,,,,57911053.0,ns,6480
day 12 part 1,,,,,59050428.0,ns,6588
day 12 part 1,,,,,63524226.0,ns,6696
day 12 part 1,,,,,63860449.0,ns,6804
day 12 part 1,,,,,64033160.0,ns,6912
day 12 part 1,,,,,62213938.0,ns,7020
day 12 part 1,,,,,62042728.0,ns,7128
day 12 part 1,,,,,64340080.0,ns,7236
day 12 part 1,,,,,69536826.0,ns,7344
day 12 part 1,,,,,72757941.0,ns,7452
day 12 part 1,,,,,69717038.0,ns,7560
day 12 part 1,,,,,69663534.0,ns,7668
day 12 part 1,,,,,71468055.0,ns,7776
day 12 part 1,,,,,71570461.0,ns,7884
day 12 part 1,,,,,67670602.0,ns,7992
day 12 part 1,,,,,70371581.0,ns,8100
day 12 part 1,,,,,76655100.0,ns,8208
day 12 part 1,,,,,71778775.0,ns,8316
day 12 part 1,,,,,73451687.0,ns,8424
day 12 part 1,,,,,73429785.0,ns,8532
day 12 part 1,,,,,74763173.0,ns,8640
day 12 part 1,,,,,79002656.0,ns,8748
day 12 part 1,,,,,80798675.0,ns,8856
day 12 part 1,,,,,81776941.0,ns,8964
day 12 part 1,,,,,86827676.0,ns,9072
day 12 part 1,,,,,86765972.0,ns,9180
day 12 part 1,,,,,85659399.0,ns,9288
day 12 part 1,,,,,86934383.0,ns,9396
day 12 part 1,,,,,92267639.0,ns,9504
day 12 part 1,,,,,92307540.0,ns,9612
day 12 part 1,,,,,86421250.0,ns,9720
day 12 part 1,,,,,86250738.0,ns,9828
day 12 part 1,,,,,94965017.0,ns,9936
day 12 part 1,,,,,93106494.0,ns,10044
day 12 part 1,,,,,93931749.0,ns,10152
day 12 part 1,,,,,91772006.0,ns,10260
day 12 part 1,,,,,91642296.0,ns,10368
day 12 part 1,,,,,99344609.0,ns,10476
day 12 part 1,,,,,105626526.0,ns,10584
day 12 part 1,,,,,107748668.0,ns,10692
day 12 part 1,,,,,101259535.0,ns,10800
