group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 12 part 2,,,,,963702.0,ns,77
day 12 part 2,,,,,1918104.0,ns,154
day 12 part 2,,,,,2854606.0,ns,231
day 12 part 2,,,,,3661907.0,ns,308
day 12 part 2,,,,,5291611.0,ns,385
day 12 part 2,,,,,6505013.0,ns,462
day 12 part 2,,,,,8057117.0,ns,539
day 12 part 2,,,,,8354517.0,ns,616
day 12 part 2,,,,,8971718.0,ns,693
day 12 part 2,,,,,8972718.0,ns,770
day 12 part 2,,,,,11340123.0,ns,847
day 12 part 2,,,,,12429225.0,ns,924
day 12 part 2,,,,,12997926.0,ns,1001
day 12 part 2,,,,,13165027.0,ns,1078
day 12 part 2,,,,,15605632.0,ns,1155
day 12 part 2,,,,,15906532.0,ns,1232
day 12 part 2,,,,,15126931.0,ns,1309
day 12 part 2,,,,,18842338.0,ns,1386
day 12 part 2,,,,,17545535.0,ns,1463
day 12 part 2,,,,,18771538.0,ns,1540
day 12 part 2,,,,,21078643.0,ns,1617
day 12 part 2,,,,,21466044.0,ns,1694
day 12 part 2,,,,,23096446.0,ns,1771
day 12 part 2,,,,,23880549.0,ns,1848
day 12 part 2,,,,,24684150.0,ns,1925
day 12 part 2,,,,,23715248.0,ns,2002
day 12 part 2,,,,,26679154.0,ns,2079
day 12 part 2,,,,,25107151.0,ns,2156
day 12 part 2,,,,,28388557.0,ns,2233
day 12 part 2,,,,,27889057.0,ns,2310
day 12 part 2,,,,,30261861.0,ns,2387
day 12 part 2,,,,,28415958.0,ns,2464
day 12 part 2,,,,,33748368.0,ns,2541
day 12 part 2,,,,,33241767.0,ns,2618
day 12 part 2,,,,,34216570.0,ns,2695
day 12 part 2,,,,,35577972.0,ns,2772
day 12 part 2,,,,,36921075.0,ns,2849
day 12 part 2,,,,,38052277.0,ns,2926
day 12 part 2,,,,,34988971.0,ns,3003
day 12 part 2,,,,,40584982.0,ns,3080
day 12 part 2,,,,,40766182.0,ns,3157
day 12 part 2,,,,,47251096.0,ns,3234
day 12 part 2,,,,,42193686.0,ns,3311
day 12 part 2,,,,,41708084.0,ns,3388
day 12 part 2,,,,,40169181.0,ns,3465
day 12 part 2,,,,,45252692.0,ns,3542
day 12 part 2,,,,,45042391.0,ns,3619
day 12 part 2,,,,,46948796.0,ns,3696
day 12 part 2,,,,,47228395.0,ns,3773
day 12 part 2,,,,,47749797.0,ns,3850
day 12 part 2,,,,,49046899.0,ns,3927
day 12 part 2,,,,,51348804.0,ns,4004
day 12 part 2,,,,,49940002.0,ns,4081
day 12 part 2,,,,,52122205.0,ns,4158
day 12 part 2,,,,,52279606.0,ns,4235
day 12 part 2,,,,,53424808.0,ns,4312
day 12 part 2,,,,,55417313.0,ns,4389
day 12 part 2,,,,,55894813.0,ns,4466
day 12 part 2,,,,,59902621.0,ns,4543
day 12 part 2,,,,,59119220.0,ns,4620
day 12 part 2,,,,,62049026.0,ns,4697
day 12 part 2,,,,,58821519.0,ns,4774
day 12 part 2,,,,,62248426.0,ns,4851
day 12 part 2,,,,,60067222.0,ns,4928
day 12 part 2,,,,,62363226.0,ns,5005
day 12 part 2,,,,,62737127.0,ns,5082
day 12 part 2,,,,,66262334.0,ns,5159
day 12 part 2,,,,,65548933.0,ns,5236
day 12 part 2,,,,,73789050.0,ns,5313
day 12 part 2,,,,,70013141.0,ns,5390
day 12 part 2,,,,,66658135.0,ns,5467
day 12 part 2,,,,,65975534.0,ns,5544
day 12 part 2,,,,,70730443.0,ns,5621
day 12 part 2,,,,,69125741.0,ns,5698
day 12 part 2,,,,,71510044.0,ns,5775
day 12 part 2,,,,,72225647.0,ns,5852
day 12 part 2,,,,,74339750.0,ns,5929
day 12 part 2,,,,,73575949.0,ns,6006
day 12 part 2,,,,,79612462.0,ns,6083
day 12 part 2,,,,,76492255.0,ns,6160
day 12 part 2,,,,,78473959.0,ns,6237
day 12 part 2,,,,,78736159.0,ns,6314
day 12 part 2,,,,,86989276.0,ns,6391
day 12 part 2,,,,,81133065.0,ns,6468
day 12 part 2,,,,,80638263.0,ns,6545
day 12 part 2,,,,,82769768.0,ns,6622
day 12 part 2,,,,,84386171.0,ns,6699
day 12 part 2,,,,,82332867.0,ns,6776
day 12 part 2,,,,,85784973.0,ns,6853
day 12 part 2,,,,,90115883.0,ns,6930
day 12 part 2,,,,,90038882.0,ns,7007
day 12 part 2,,,,,94658192.0,ns,7084
day 12 part 2,,,,,88653880.0,ns,7161
day 12 part 2,,,,,91374585.0,ns,7238
day 12 part 2,,,,,104948913.0,ns,7315
day 12 part 2,,,,,96996596.0,ns,7392
day 12 part 2,,,,,94041891.0,ns,7469
day 12 part 2,,,,,96231195.0,ns,7546
day 12 part 2,,,,,95048192.0,ns,7623
day 12 part 2,,,,,99563302.0,ns,7700
