group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 17 part 2,,,,,60632563.0,ns,2
day 17 part 2,,,,,60587864.0,ns,2
day 17 part 2,,,,,60592463.0,ns,2
day 17 part 2,,,,,60570864.0,ns,2
day 17 part 2,,,,,60576863.0,ns,2
day 17 part 2,,,,,60598064.0,ns,2
day 17 part 2,,,,,60619963.0,ns,2
day 17 part 2,,,,,60599264.0,ns,2
day 17 part 2,,,,,60589063.0,ns,2
day 17 part 2,,,,,60608064.0,ns,2
day 17 part 2,,,,,60604464.0,ns,2
day 17 part 2,,,,,60585463.0,ns,2
day 17 part 2,,,,,60634964.0,ns,2
day 17 part 2,,,,,60570763.0,ns,2
day 17 part 2,,,,,60630464.0,ns,2
day 17 part 2,,,,,60575963.0,ns,2
day 17 part 2,,,,,60609764.0,ns,2
day 17 part 2,,,,,60561363.0,ns,2
day 17 part 2,,,,,60589864.0,ns,2
day 17 part 2,,,,,60570763.0,ns,2
day 17 part 2,,,,,60602164.0,ns,2
day 17 part 2,,,,,60648064.0,ns,2
day 17 part 2,,,,,60654263.0,ns,2
day 17 part 2,,,,,60630964.0,ns,2
day 17 part 2,,,,,60613564.0,ns,2
day 17 part 2,,,,,60609463.0,ns,2
day 17 part 2,,,,,60606364.0,ns,2
day 17 part 2,,,,,60606064.0,ns,2
day 17 part 2,,,,,60648763.0,ns,2
day 17 part 2,,,,,60598485.0,ns,2
day 17 part 2,,,,,60561875.0,ns,2
day 17 part 2,,,,,60565974.0,ns,2
day 17 part 2,,,,,60597874.0,ns,2
day 17 part 2,,,,,60581474.0,ns,2
day 17 part 2,,,,,60603674.0,ns,2
day 17 part 2,,,,,60608974.0,ns,2
day 17 part 2,,,,,60598875.0,ns,2
day 17 part 2,,,,,60590074.0,ns,2
day 17 part 2,,,,,60662374.0,ns,2
day 17 part 2,,,,,60609575.0,ns,2
day 17 part 2,,,,,60551273.0,ns,2
day 17 part 2,,,,,60636275.0,ns,2
day 17 part 2,,,,,60552074.0,ns,2
day 17 part 2,,,,,60546874.0,ns,2
day 17 part 2,,,,,60619774.0,ns,2
day 17 part 2,,,,,60607774.0,ns,2
day 17 part 2,,,,,60586275.0,ns,2
day 17 part 2,,,,,60601974.0,ns,2
day 17 part 2,,,,,60561874.0,ns,2
day 17 part 2,,,,,60580774.0,ns,2
day 17 part 2,,,,,60562974.0,ns,2
day 17 part 2,,,,,60578974.0,ns,2
day 17 part 2,,,,,60612374.0,ns,2
day 17 part 2,,,,,60617575.0,ns,2
day 17 part 2,,,,,60569674.0,ns,2
day 17 part 2,,,,,60888675.0,ns,2
day 17 part 2,,,,,60602874.0,ns,2
day 17 part 2,,,,,60590475.0,ns,2
day 17 part 2,,,,,60662474.0,ns,2
day 17 part 2,,,,,60553274.0,ns,2
day 17 part 2,,,,,60642175.0,ns,2
day 17 part 2,,,,,60617674.0,ns,2
day 17 part 2,,,,,60556174.0,ns,2
day 17 part 2,,,,,60562574.0,ns,2
day 17 part 2,,,,,60605674.0,ns,2
day 17 part 2,,,,,60627074.0,ns,2
day 17 part 2,,,,,60562374.0,ns,2
day 17 part 2,,,,,60572875.0,ns,2
day 17 part 2,,,,,60661874.0,ns,2
day 17 part 2,,,,,60636774.0,ns,2
day 17 part 2,,,,,60602175.0,ns,2
day 17 part 2,,,,,60685574.0,ns,2
day 17 part 2,,,,,60632375.0,ns,2
day 17 part 2,,,,,60647874.0,ns,2
day 17 part 2,,,,,60620274.0,ns,2
day 17 part 2,,,,,60591075.0,ns,2
day 17 part 2,,,,,60657474.0,ns,2
day 17 part 2,,,,,60571174.0,ns,2
day 17 part 2,,,,,60628374.0,ns,2
day 17 part 2,,,,,60598475.0,ns,2
day 17 part 2,,,,,60554274.0,ns,2
day 17 part 2,,,,,60586974.0,ns,2
day 17 part 2,,,,,60601174.0,ns,2
day 17 part 2,,,,,60547374.0,ns,2
day 17 part 2,,,,,60529174.0,ns,2
day 17 part 2,,,,,60581374.0,ns,2
day 17 part 2,,,,,60588674.0,ns,2
day 17 part 2,,,,,60626274.0,ns,2
day 17 part 2,,,,,60655375.0,ns,2
day 17 part 2,,,,,60548374.0,ns,2
day 17 part 2,,,,,60615574.0,ns,2
day 17 part 2,,,,,60585674.0,ns,2
day 17 part 2,,,,,60595275.0,ns,2
day 17 part 2,,,,,60622174.0,ns,2
day 17 part 2,,,,,60577574.0,ns,2
day 17 part 2,,,,,60604974.0,ns,2
day 17 part 2,,,,,60595174.0,ns,2
day 17 part 2,,,,,60604975.0,ns,2
day 17 part 2,,,,,60568374.0,ns,2
day 17 part 2,,,,,60580174.0,ns,2
