group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 11 part 2,,,,,55119111.0,ns,2
day 11 part 2,,,,,53964344.0,ns,2
day 11 part 2,,,,,52467888.0,ns,2
day 11 part 2,,,,,55707994.0,ns,2
day 11 part 2,,,,,53770550.0,ns,2
day 11 part 2,,,,,56225279.0,ns,2
day 11 part 2,,,,,52390189.0,ns,2
day 11 part 2,,,,,54888718.0,ns,2
day 11 part 2,,,,,54931416.0,ns,2
day 11 part 2,,,,,54717023.0,ns,2
day 11 part 2,,,,,55768692.0,ns,2
day 11 part 2,,,,,53012972.0,ns,2
day 11 part 2,,,,,54941616.0,ns,2
day 11 part 2,,,,,53316163.0,ns,2
day 11 part 2,,,,,56038685.0,ns,2
day 11 part 2,,,,,49480673.0,ns,2
day 11 part 2,,,,,52782678.0,ns,2
day 11 part 2,,,,,54806721.0,ns,2
day 11 part 2,,,,,53188567.0,ns,2
day 11 part 2,,,,,59687379.0,ns,2
day 11 part 2,,,,,50687339.0,ns,2
day 11 part 2,,,,,53488958.0,ns,2
day 11 part 2,,,,,55117711.0,ns,2
day 11 part 2,,,,,54191838.0,ns,2
day 11 part 2,,,,,53029871.0,ns,2
day 11 part 2,,,,,52630583.0,ns,2
day 11 part 2,,,,,54118361.0,ns,2
day 11 part 2,,,,,58277955.0,ns,2
day 11 part 2,,,,,54628246.0,ns,2
day 11 part 2,,,,,48246129.0,ns,2
day 11 part 2,,,,,52315539.0,ns,2
day 11 part 2,,,,,50950336.0,ns,2
day 11 part 2,,,,,54049744.0,ns,2
day 11 part 2,,,,,53524442.0,ns,2
day 11 part 2,,,,,51932839.0,ns,2
day 11 part 2,,,,,55381547.0,ns,2
day 11 part 2,,,,,62099566.0,ns,2
day 11 part 2,,,,,51353836.0,ns,2
day 11 part 2,,,,,54851347.0,ns,2
day 11 part 2,,,,,52901241.0,ns,2
day 11 part 2,,,,,53029841.0,ns,2
day 11 part 2,,,,,54601145.0,ns,2
day 11 part 2,,,,,53934144.0,ns,2
day 11 part 2,,,,,56229650.0,ns,2
day 11 part 2,,,,,57905454.0,ns,2
day 11 part 2,,,,,53693243.0,ns,2
day 11 part 2,,,,,52770641.0,ns,2
day 11 part 2,,,,,51537437.0,ns,2
day 11 part 2,,,,,49800033.0,ns,2
day 11 part 2,,,,,51220636.0,ns,2
day 11 part 2,,,,,52672741.0,ns,2
day 11 part 2,,,,,51909838.0,ns,2
day 11 part 2,,,,,55083547.0,ns,2
day 11 part 2,,,,,51465337.0,ns,2
day 11 part 2,,,,,52737740.0,ns,2
day 11 part 2,,,,,50550535.0,ns,2
day 11 part 2,,,,,53640943.0,ns,2
day 11 part 2,,,,,51987338.0,ns,2
day 11 part 2,,,,,51964539.0,ns,2
day 11 part 2,,,,,52784341.0,ns,2
day 11 part 2,,,,,55258947.0,ns,2
day 11 part 2,,,,,55486248.0,ns,2
day 11 part 2,,,,,50437034.0,ns,2
day 11 part 2,,,,,52459240.0,ns,2
day 11 part 2,,,,,54975346.0,ns,2
day 11 part 2,,,,,57114352.0,ns,2
day 11 part 2,,,,,55231848.0,ns,2
day 11 part 2,,,,,50412334.0,ns,2
day 11 part 2,,,,,51056036.0,ns,2
day 11 part 2,,,,,51648137.0,ns,2
day 11 part 2,,,,,51645238.0,ns,2
day 11 part 2,,,,,50062033.0,ns,2
day 11 part 2,,,,,51213637.0,ns,2
day 11 part 2,,,,,52124939.0,ns,2
day 11 part 2,,,,,56365550.0,ns,2
day 11 part 2,,,,,53031941.0,ns,2
day 11 part 2,,,,,55310148.0,ns,2
day 11 part 2,,,,,52623540.0,ns,2
day 11 part 2,,,,,54541745.0,ns,2
day 11 part 2,,,,,52671641.0,ns,2
day 11 part 2,,,,,55315947.0,ns,2
day 11 part 2,,,,,52420340.0,ns,2
day 11 part 2,,,,,52516439.0,ns,2
day 11 part 2,,,,,55456848.0,ns,2
day 11 part 2,,,,,54132444.0,ns,2
day 11 part 2,,,,,54050844.0,ns,2
day 11 part 2,,,,,53934144.0,ns,2
day 11 part 2,,,,,53104942.0,ns,2
day 11 part 2,,,,,54002744.0,ns,2
day 11 part 2,,,,,54012143.0,ns,2
day 11 part 2,,,,,50882636.0,ns,2
day 11 part 2,,,,,55991649.0,ns,2
day 11 part 2,,,,,53566543.0,ns,2
day 11 part 2,,,,,52710640.0,ns,2
day 11 part 2,,,,,55317048.0,ns,2
day 11 part 2,,,,,51015536.0,ns,2
day 11 part 2,,,,,52027738.0,ns,2
day 11 part 2,,,,,54208745.0,ns,2
day 11 part 2,,,,,53121541.0,ns,2
day 11 part 2,,,,,54636346.0,ns,2
