group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 21 part 1,,,,,945667.0,ns,3
day 21 part 1,,,,,1887833.0,ns,6
day 21 part 1,,,,,3286733.0,ns,9
day 21 part 1,,,,,3796169.0,ns,12
day 21 part 1,,,,,4739535.0,ns,15
day 21 part 1,,,,,6117533.0,ns,18
day 21 part 1,,,,,6632970.0,ns,21
day 21 part 1,,,,,7931961.0,ns,24
day 21 part 1,,,,,8677614.0,ns,27
day 21 part 1,,,,,9925302.0,ns,30
day 21 part 1,,,,,10467941.0,ns,33
day 21 part 1,,,,,13457553.0,ns,36
day 21 part 1,,,,,14147702.0,ns,39
day 21 part 1,,,,,14604634.0,ns,42
day 21 part 1,,,,,15450993.0,ns,45
day 21 part 1,,,,,15574203.0,ns,48
day 21 part 1,,,,,16530170.0,ns,51
day 21 part 1,,,,,19567185.0,ns,54
day 21 part 1,,,,,20149227.0,ns,57
day 21 part 1,,,,,19573285.0,ns,60
day 21 part 1,,,,,20391144.0,ns,63
day 21 part 1,,,,,21959254.0,ns,66
day 21 part 1,,,,,22213673.0,ns,69
day 21 part 1,,,,,23622772.0,ns,72
day 21 part 1,,,,,24240016.0,ns,75
day 21 part 1,,,,,30181137.0,ns,78
day 21 part 1,,,,,30733875.0,ns,81
day 21 part 1,,,,,30276243.0,ns,84
day 21 part 1,,,,,32811723.0,ns,87
day 21 part 1,,,,,31646540.0,ns,90
day 21 part 1,,,,,30891686.0,ns,93
day 21 part 1,,,,,32174078.0,ns,96
day 21 part 1,,,,,33329159.0,ns,99
day 21 part 1,,,,,33936003.0,ns,102
day 21 part 1,,,,,34926372.0,ns,105
day 21 part 1,,,,,36139058.0,ns,108
day 21 part 1,,,,,35861939.0,ns,111
day 21 part 1,,,,,37603562.0,ns,114
day 21 part 1,,,,,39090267.0,ns,117
day 21 part 1,,,,,39353486.0,ns,120
day 21 part 1,,,,,44375141.0,ns,123
day 21 part 1,,,,,42311695.0,ns,126
day 21 part 1,,,,,45815043.0,ns,129
day 21 part 1,,,,,46193670.0,ns,132
day 21 part 1,,,,,46869618.0,ns,135
day 21 part 1,,,,,46847816.0,ns,138
day 21 part 1,,,,,46393085.0,ns,141
day 21 part 1,,,,,47546365.0,ns,144
day 21 part 1,,,,,49510005.0,ns,147
day 21 part 1,,,,,50275459.0,ns,150
day 21 part 1,,,,,50764694.0,ns,153
day 21 part 1,,,,,56245482.0,ns,156
day 21 part 1,,,,,52661427.0,ns,159
day 21 part 1,,,,,54755477.0,ns,162
day 21 part 1,,,,,54710473.0,ns,165
day 21 part 1,,,,,54786178.0,ns,168
day 21 part 1,,,,,59277996.0,ns,171
day 21 part 1,,,,,56985734.0,ns,174
day 21 part 1,,,,,57788491.0,ns,177
day 21 part 1,,,,,60869409.0,ns,180
day 21 part 1,,,,,65558041.0,ns,183
day 21 part 1,,,,,60254665.0,ns,186
day 21 part 1,,,,,62597032.0,ns,189
day 21 part 1,,,,,66558111.0,ns,192
day 21 part 1,,,,,63609603.0,ns,195
day 21 part 1,,,,,64716982.0,ns,198
day 21 part 1,,,,,65275621.0,ns,201
day 21 part 1,,,,,66747323.0,ns,204
day 21 part 1,,,,,74545968.0,ns,207
day 21 part 1,,,,,71791072.0,ns,210
day 21 part 1,,,,,70233163.0,ns,213
day 21 part 1,,,,,80130062.0,ns,216
day 21 part 1,,,,,72385915.0,ns,219
day 21 part 1,,,,,73568698.0,ns,222
day 21 part 1,,,,,75947166.0,ns,225
day 21 part 1,,,,,81717274.0,ns,228
day 21 part 1,,,,,81647070.0,ns,231
day 21 part 1,,,,,84959503.0,ns,234
day 21 part 1,,,,,83544803.0,ns,237
day 21 part 1,,,,,80312475.0,ns,240
day 21 part 1,,,,,84040138.0,ns,243
day 21 part 1,,,,,92630645.0,ns,246
day 21 part 1,,,,,87942014.0,ns,249
day 21 part 1,,,,,91778585.0,ns,252
day 21 part 1,,,,,96478417.0,ns,255
day 21 part 1,,,,,91391358.0,ns,258
day 21 part 1,,,,,92059305.0,ns,261
day 21 part 1,,,,,101139346.0,ns,264
day 21 part 1,,,,,89814446.0,ns,267
day 21 part 1,,,,,92985670.0,ns,270
day 21 part 1,,,,,92447732.0,ns,273
day 21 part 1,,,,,92375827.0,ns,276
day 21 part 1,,,,,100453798.0,ns,279
day 21 part 1,,,,,101042540.0,ns,282
day 21 part 1,,,,,117993937.0,ns,285
day 21 part 1,,,,,98476459.0,ns,288
day 21 part 1,,,,,110911737.0,ns,291
day 21 part 1,,,,,102813764.0,ns,294
day 21 part 1,,,,,97252572.0,ns,297
day 21 part 1,,,,,104331072.0,ns,300
