group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 21 part 2,,,,,1138276.0,ns,3
day 21 part 2,,,,,2070538.0,ns,6
day 21 part 2,,,,,3337223.0,ns,9
day 21 part 2,,,,,4384292.0,ns,12
day 21 part 2,,,,,5279852.0,ns,15
day 21 part 2,,,,,6070505.0,ns,18
day 21 part 2,,,,,7478599.0,ns,21
day 21 part 2,,,,,8469066.0,ns,24
day 21 part 2,,,,,9503734.0,ns,27
day 21 part 2,,,,,10616508.0,ns,30
day 21 part 2,,,,,11710781.0,ns,33
day 21 part 2,,,,,13294987.0,ns,36
day 21 part 2,,,,,13890327.0,ns,39
day 21 part 2,,,,,14243151.0,ns,42
day 21 part 2,,,,,16175579.0,ns,45
day 21 part 2,,,,,17267652.0,ns,48
day 21 part 2,,,,,18304021.0,ns,51
day 21 part 2,,,,,20139044.0,ns,54
day 21 part 2,,,,,20926496.0,ns,57
day 21 part 2,,,,,21711049.0,ns,60
day 21 part 2,,,,,22910728.0,ns,63
day 21 part 2,,,,,23085341.0,ns,66
day 21 part 2,,,,,24576940.0,ns,69
day 21 part 2,,,,,24330323.0,ns,72
day 21 part 2,,,,,26050438.0,ns,75
day 21 part 2,,,,,26396861.0,ns,78
day 21 part 2,,,,,28015369.0,ns,81
day 21 part 2,,,,,28584008.0,ns,84
day 21 part 2,,,,,29489867.0,ns,87
day 21 part 2,,,,,31772420.0,ns,90
day 21 part 2,,,,,31861126.0,ns,93
day 21 part 2,,,,,34269686.0,ns,96
day 21 part 2,,,,,35665479.0,ns,99
day 21 part 2,,,,,35535371.0,ns,102
day 21 part 2,,,,,36845959.0,ns,105
day 21 part 2,,,,,39494035.0,ns,108
day 21 part 2,,,,,40622410.0,ns,111
day 21 part 2,,,,,41465067.0,ns,114
day 21 part 2,,,,,39864059.0,ns,117
day 21 part 2,,,,,41173448.0,ns,120
day 21 part 2,,,,,43261586.0,ns,123
day 21 part 2,,,,,42053606.0,ns,126
day 21 part 2,,,,,43350092.0,ns,129
day 21 part 2,,,,,42005303.0,ns,132
day 21 part 2,,,,,45759753.0,ns,135
day 21 part 2,,,,,47492469.0,ns,138
day 21 part 2,,,,,49392295.0,ns,141
day 21 part 2,,,,,51085509.0,ns,144
day 21 part 2,,,,,52856226.0,ns,147
day 21 part 2,,,,,49103477.0,ns,150
day 21 part 2,,,,,49500502.0,ns,153
day 21 part 2,,,,,52797723.0,ns,156
day 21 part 2,,,,,51912064.0,ns,159
day 21 part 2,,,,,53786189.0,ns,162
day 21 part 2,,,,,56400263.0,ns,165
day 21 part 2,,,,,60633345.0,ns,168
day 21 part 2,,,,,63293923.0,ns,171
day 21 part 2,,,,,63494637.0,ns,174
day 21 part 2,,,,,62872595.0,ns,177
day 21 part 2,,,,,62021638.0,ns,180
day 21 part 2,,,,,65831892.0,ns,183
day 21 part 2,,,,,63752554.0,ns,186
day 21 part 2,,,,,65812491.0,ns,189
day 21 part 2,,,,,64040673.0,ns,192
day 21 part 2,,,,,65942600.0,ns,195
day 21 part 2,,,,,69493036.0,ns,198
day 21 part 2,,,,,61820225.0,ns,201
day 21 part 2,,,,,67493703.0,ns,204
day 21 part 2,,,,,69963468.0,ns,207
day 21 part 2,,,,,69468235.0,ns,210
day 21 part 2,,,,,69335926.0,ns,213
day 21 part 2,,,,,69057908.0,ns,216
day 21 part 2,,,,,76953434.0,ns,219
day 21 part 2,,,,,80750988.0,ns,222
day 21 part 2,,,,,80189351.0,ns,225
day 21 part 2,,,,,82464902.0,ns,228
day 21 part 2,,,,,80155248.0,ns,231
day 21 part 2,,,,,80425166.0,ns,234
day 21 part 2,,,,,86185650.0,ns,237
day 21 part 2,,,,,84198618.0,ns,240
day 21 part 2,,,,,84872363.0,ns,243
day 21 part 2,,,,,84775256.0,ns,246
day 21 part 2,,,,,84727453.0,ns,249
day 21 part 2,,,,,85498605.0,ns,252
day 21 part 2,,,,,86955502.0,ns,255
day 21 part 2,,,,,84729953.0,ns,258
day 21 part 2,,,,,88176883.0,ns,261
day 21 part 2,,,,,94303992.0,ns,264
day 21 part 2,,,,,93630247.0,ns,267
day 21 part 2,,,,,96028507.0,ns,270
day 21 part 2,,,,,97881930.0,ns,273
day 21 part 2,,,,,95167350.0,ns,276
day 21 part 2,,,,,90130814.0,ns,279
day 21 part 2,,,,,93669650.0,ns,282
day 21 part 2,,,,,91749619.0,ns,285
day 21 part 2,,,,,97356292.0,ns,288
day 21 part 2,,,,,99231017.0,ns,291
day 21 part 2,,,,,105858759.0,ns,294
day 21 part 2,,,,,109315489.0,ns,297
day 21 part 2,,,,,108564339.0,ns,300
