group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 22 part 1,,,,,872006.0,ns,288
day 22 part 1,,,,,1834012.0,ns,576
day 22 part 1,,,,,2705118.0,ns,864
day 22 part 1,,,,,3588125.0,ns,1152
day 22 part 1,,,,,4844432.0,ns,1440
day 22 part 1,,,,,6060841.0,ns,1728
day 22 part 1,,,,,6198642.0,ns,2016
day 22 part 1,,,,,7330549.0,ns,2304
day 22 part 1,,,,,8344056.0,ns,2592
day 22 part 1,,,,,9177662.0,ns,2880
day 22 part 1,,,,,9951867.0,ns,3168
day 22 part 1,,,,,12383083.0,ns,3456
day 22 part 1,,,,,12562984.0,ns,3744
day 22 part 1,,,,,15061902.0,ns,4032
day 22 part 1,,,,,15142501.0,ns,4320
day 22 part 1,,,,,15021001.0,ns,4608
day 22 part 1,,,,,16324810.0,ns,4896
day 22 part 1,,,,,16847014.0,ns,5184
day 22 part 1,,,,,19032228.0,ns,5472
day 22 part 1,,,,,19499031.0,ns,5760
day 22 part 1,,,,,20274336.0,ns,6048
day 22 part 1,,,,,21551945.0,ns,6336
day 22 part 1,,,,,21793646.0,ns,6624
day 22 part 1,,,,,25472772.0,ns,6912
day 22 part 1,,,,,25382670.0,ns,7200
day 22 part 1,,,,,26335077.0,ns,7488
day 22 part 1,,,,,26800181.0,ns,7776
day 22 part 1,,,,,31895414.0,ns,8064
day 22 part 1,,,,,29766700.0,ns,8352
day 22 part 1,,,,,30097203.0,ns,8640
day 22 part 1,,,,,31437011.0,ns,8928
day 22 part 1,,,,,32619119.0,ns,9216
day 22 part 1,,,,,29983202.0,ns,9504
day 22 part 1,,,,,32624019.0,ns,9792
day 22 part 1,,,,,37729654.0,ns,10080
day 22 part 1,,,,,36519046.0,ns,10368
day 22 part 1,,,,,38550259.0,ns,10656
day 22 part 1,,,,,37650053.0,ns,10944
day 22 part 1,,,,,36291144.0,ns,11232
day 22 part 1,,,,,34858134.0,ns,11520
day 22 part 1,,,,,38140856.0,ns,11808
day 22 part 1,,,,,36096643.0,ns,12096
day 22 part 1,,,,,39243364.0,ns,12384
day 22 part 1,,,,,42938888.0,ns,12672
day 22 part 1,,,,,44604600.0,ns,12960
day 22 part 1,,,,,48676328.0,ns,13248
day 22 part 1,,,,,53629660.0,ns,13536
day 22 part 1,,,,,54530067.0,ns,13824
day 22 part 1,,,,,47628520.0,ns,14112
day 22 part 1,,,,,48256825.0,ns,14400
day 22 part 1,,,,,45182803.0,ns,14688
day 22 part 1,,,,,43498793.0,ns,14976
day 22 part 1,,,,,48294825.0,ns,15264
day 22 part 1,,,,,45458205.0,ns,15552
day 22 part 1,,,,,50806542.0,ns,15840
day 22 part 1,,,,,53030857.0,ns,16128
day 22 part 1,,,,,56473179.0,ns,16416
day 22 part 1,,,,,55991477.0,ns,16704
day 22 part 1,,,,,58397492.0,ns,16992
day 22 part 1,,,,,55698275.0,ns,17280
day 22 part 1,,,,,54975970.0,ns,17568
day 22 part 1,,,,,54078563.0,ns,17856
day 22 part 1,,,,,59907903.0,ns,18144
day 22 part 1,,,,,59704302.0,ns,18432
day 22 part 1,,,,,60488506.0,ns,18720
day 22 part 1,,,,,62646822.0,ns,19008
day 22 part 1,,,,,61468413.0,ns,19296
day 22 part 1,,,,,61926916.0,ns,19584
day 22 part 1,,,,,69553368.0,ns,19872
day 22 part 1,,,,,76413814.0,ns,20160
day 22 part 1,,,,,66547447.0,ns,20448
day 22 part 1,,,,,75592609.0,ns,20736
day 22 part 1,,,,,64659134.0,ns,21024
day 22 part 1,,,,,70678376.0,ns,21312
day 22 part 1,,,,,71086778.0,ns,21600
day 22 part 1,,,,,72788989.0,ns,21888
day 22 part 1,,,,,74434801.0,ns,22176
day 22 part 1,,,,,74571001.0,ns,22464
day 22 part 1,,,,,74456201.0,ns,22752
day 22 part 1,,,,,73955297.0,ns,23040
day 22 part 1,,,,,90678410.0,ns,23328
day 22 part 1,,,,,89090899.0,ns,23616
day 22 part 1,,,,,80900044.0,ns,23904
day 22 part 1,,,,,71388380.0,ns,24192
day 22 part 1,,,,,78437727.0,ns,24480
day 22 part 1,,,,,79126730.0,ns,24768
day 22 part 1,,,,,83516057.0,ns,25056
day 22 part 1,,,,,81566045.0,ns,25344
day 22 part 1,,,,,81296644.0,ns,25632
day 22 part 1,,,,,78793626.0,ns,25920
day 22 part 1,,,,,82824453.0,ns,26208
day 22 part 1,,,,,83716960.0,ns,26496
day 22 part 1,,,,,80194235.0,ns,26784
day 22 part 1,,,,,82670253.0,ns,27072
day 22 part 1,,,,,82185049.0,ns,27360
day 22 part 1,,,,,77974221.0,ns,27648
day 22 part 1,,,,,94062628.0,ns,27936
day 22 part 1,,,,,102977588.0,ns,28224
day 22 part 1,,,,,93010421.0,ns,28512
day 22 part 1,,,,,97356651.0,ns,28800
