group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 5 part 1,,,,,880306.0,ns,16
day 5 part 1,,,,,2073114.0,ns,32
day 5 part 1,,,,,3432122.0,ns,48
day 5 part 1,,,,,3798826.0,ns,64
day 5 part 1,,,,,4760731.0,ns,80
day 5 part 1,,,,,5536037.0,ns,96
day 5 part 1,,,,,6614044.0,ns,112
day 5 part 1,,,,,7933352.0,ns,128
day 5 part 1,,,,,8754158.0,ns,144
day 5 part 1,,,,,9831366.0,ns,160
day 5 part 1,,,,,10590870.0,ns,176
day 5 part 1,,,,,13338488.0,ns,192
day 5 part 1,,,,,12266482.0,ns,208
day 5 part 1,,,,,15738904.0,ns,224
day 5 part 1,,,,,14868999.0,ns,240
day 5 part 1,,,,,17341715.0,ns,256
day 5 part 1,,,,,17942319.0,ns,272
day 5 part 1,,,,,17679817.0,ns,288
day 5 part 1,,,,,18287421.0,ns,304
day 5 part 1,,,,,20025833.0,ns,320
day 5 part 1,,,,,20646937.0,ns,336
day 5 part 1,,,,,23511762.0,ns,352
day 5 part 1,,,,,22873759.0,ns,368
day 5 part 1,,,,,24651071.0,ns,384
day 5 part 1,,,,,25960780.0,ns,400
day 5 part 1,,,,,26704885.0,ns,416
day 5 part 1,,,,,29410305.0,ns,432
day 5 part 1,,,,,30154509.0,ns,448
day 5 part 1,,,,,29599006.0,ns,464
day 5 part 1,,,,,30657713.0,ns,480
day 5 part 1,,,,,30252110.0,ns,496
day 5 part 1,,,,,32638727.0,ns,512
day 5 part 1,,,,,29873708.0,ns,528
day 5 part 1,,,,,33151030.0,ns,544
day 5 part 1,,,,,30547312.0,ns,560
day 5 part 1,,,,,31271117.0,ns,576
day 5 part 1,,,,,39077372.0,ns,592
day 5 part 1,,,,,38075064.0,ns,608
day 5 part 1,,,,,37960364.0,ns,624
day 5 part 1,,,,,41305187.0,ns,640
day 5 part 1,,,,,40146779.0,ns,656
day 5 part 1,,,,,38639969.0,ns,672
day 5 part 1,,,,,52240263.0,ns,688
day 5 part 1,,,,,48052933.0,ns,704
day 5 part 1,,,,,47401730.0,ns,720
day 5 part 1,,,,,44521609.0,ns,736
day 5 part 1,,,,,45291515.0,ns,752
day 5 part 1,,,,,45643217.0,ns,768
day 5 part 1,,,,,48171935.0,ns,784
day 5 part 1,,,,,48801239.0,ns,800
day 5 part 1,,,,,47008226.0,ns,816
day 5 part 1,,,,,50406151.0,ns,832
day 5 part 1,,,,,54811080.0,ns,848
day 5 part 1,,,,,54271278.0,ns,864
day 5 part 1,,,,,53284570.0,ns,880
day 5 part 1,,,,,54111976.0,ns,896
day 5 part 1,,,,,57514599.0,ns,912
day 5 part 1,,,,,56031490.0,ns,928
day 5 part 1,,,,,59255811.0,ns,944
day 5 part 1,,,,,60398620.0,ns,960
day 5 part 1,,,,,63480441.0,ns,976
day 5 part 1,,,,,69027080.0,ns,992
day 5 part 1,,,,,69849085.0,ns,1008
day 5 part 1,,,,,67643170.0,ns,1024
day 5 part 1,,,,,67002866.0,ns,1040
day 5 part 1,,,,,69927285.0,ns,1056
day 5 part 1,,,,,70403089.0,ns,1072
day 5 part 1,,,,,67626570.0,ns,1088
day 5 part 1,,,,,67305467.0,ns,1104
day 5 part 1,,,,,71751399.0,ns,1120
day 5 part 1,,,,,69897285.0,ns,1136
day 5 part 1,,,,,71146895.0,ns,1152
day 5 part 1,,,,,69604583.0,ns,1168
day 5 part 1,,,,,73449211.0,ns,1184
day 5 part 1,,,,,71507497.0,ns,1200
day 5 part 1,,,,,77388737.0,ns,1216
day 5 part 1,,,,,79772154.0,ns,1232
day 5 part 1,,,,,78506045.0,ns,1248
day 5 part 1,,,,,77596339.0,ns,1264
day 5 part 1,,,,,78168543.0,ns,1280
day 5 part 1,,,,,78856048.0,ns,1296
day 5 part 1,,,,,86252499.0,ns,1312
day 5 part 1,,,,,88300314.0,ns,1328
day 5 part 1,,,,,93371749.0,ns,1344
day 5 part 1,,,,,84383786.0,ns,1360
day 5 part 1,,,,,83065677.0,ns,1376
day 5 part 1,,,,,81641267.0,ns,1392
day 5 part 1,,,,,93318049.0,ns,1408
day 5 part 1,,,,,98027081.0,ns,1424
day 5 part 1,,,,,96343469.0,ns,1440
day 5 part 1,,,,,92235141.0,ns,1456
day 5 part 1,,,,,90947032.0,ns,1472
day 5 part 1,,,,,94720558.0,ns,1488
day 5 part 1,,,,,88448015.0,ns,1504
day 5 part 1,,,,,92358541.0,ns,1520
day 5 part 1,,,,,97564978.0,ns,1536
day 5 part 1,,,,,97445277.0,ns,1552
day 5 part 1,,,,,100197297.0,ns,1568
day 5 part 1,,,,,98629285.0,ns,1584
day 5 part 1,,,,,109939664.0,ns,1600
