group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 3 part 2,,,,,1015005.0,ns,12
day 3 part 2,,,,,1974410.0,ns,24
day 3 part 2,,,,,2791215.0,ns,36
day 3 part 2,,,,,4008821.0,ns,48
day 3 part 2,,,,,4439823.0,ns,60
day 3 part 2,,,,,5811830.0,ns,72
day 3 part 2,,,,,7910241.0,ns,84
day 3 part 2,,,,,7631439.0,ns,96
day 3 part 2,,,,,8878446.0,ns,108
day 3 part 2,,,,,9338349.0,ns,120
day 3 part 2,,,,,10581155.0,ns,132
day 3 part 2,,,,,12577265.0,ns,144
day 3 part 2,,,,,12087963.0,ns,156
day 3 part 2,,,,,12351164.0,ns,168
day 3 part 2,,,,,13244268.0,ns,180
day 3 part 2,,,,,16151284.0,ns,192
day 3 part 2,,,,,17175289.0,ns,204
day 3 part 2,,,,,17910593.0,ns,216
day 3 part 2,,,,,18048894.0,ns,228
day 3 part 2,,,,,18981198.0,ns,240
day 3 part 2,,,,,19592002.0,ns,252
day 3 part 2,,,,,21831713.0,ns,264
day 3 part 2,,,,,20944709.0,ns,276
day 3 part 2,,,,,22099414.0,ns,288
day 3 part 2,,,,,25363832.0,ns,300
day 3 part 2,,,,,24325726.0,ns,312
day 3 part 2,,,,,26079535.0,ns,324
day 3 part 2,,,,,31304963.0,ns,336
day 3 part 2,,,,,28143246.0,ns,348
day 3 part 2,,,,,29762154.0,ns,360
day 3 part 2,,,,,35236283.0,ns,372
day 3 part 2,,,,,31065261.0,ns,384
day 3 part 2,,,,,31838965.0,ns,396
day 3 part 2,,,,,31732765.0,ns,408
day 3 part 2,,,,,31593063.0,ns,420
day 3 part 2,,,,,34602280.0,ns,432
day 3 part 2,,,,,36459489.0,ns,444
day 3 part 2,,,,,37753996.0,ns,456
day 3 part 2,,,,,39328604.0,ns,468
day 3 part 2,,,,,39646905.0,ns,480
day 3 part 2,,,,,40569411.0,ns,492
day 3 part 2,,,,,43738327.0,ns,504
day 3 part 2,,,,,47976748.0,ns,516
day 3 part 2,,,,,46089439.0,ns,528
day 3 part 2,,,,,42686821.0,ns,540
day 3 part 2,,,,,45225534.0,ns,552
day 3 part 2,,,,,47305946.0,ns,564
day 3 part 2,,,,,49853258.0,ns,576
day 3 part 2,,,,,46623942.0,ns,588
day 3 part 2,,,,,53739979.0,ns,600
day 3 part 2,,,,,50755064.0,ns,612
day 3 part 2,,,,,51529468.0,ns,624
day 3 part 2,,,,,58277102.0,ns,636
day 3 part 2,,,,,56198992.0,ns,648
day 3 part 2,,,,,56214792.0,ns,660
day 3 part 2,,,,,56052191.0,ns,672
day 3 part 2,,,,,55782290.0,ns,684
day 3 part 2,,,,,53875580.0,ns,696
day 3 part 2,,,,,62624625.0,ns,708
day 3 part 2,,,,,56749695.0,ns,720
day 3 part 2,,,,,57518499.0,ns,732
day 3 part 2,,,,,72562377.0,ns,744
day 3 part 2,,,,,64321834.0,ns,756
day 3 part 2,,,,,64791836.0,ns,768
day 3 part 2,,,,,60775116.0,ns,780
day 3 part 2,,,,,66519746.0,ns,792
day 3 part 2,,,,,66320644.0,ns,804
day 3 part 2,,,,,71718273.0,ns,816
day 3 part 2,,,,,72369376.0,ns,828
day 3 part 2,,,,,74988589.0,ns,840
day 3 part 2,,,,,77354602.0,ns,852
day 3 part 2,,,,,73629882.0,ns,864
day 3 part 2,,,,,73133280.0,ns,876
day 3 part 2,,,,,77743004.0,ns,888
day 3 part 2,,,,,73027680.0,ns,900
day 3 part 2,,,,,76841799.0,ns,912
day 3 part 2,,,,,85733645.0,ns,924
day 3 part 2,,,,,83990036.0,ns,936
day 3 part 2,,,,,77346302.0,ns,948
day 3 part 2,,,,,73983784.0,ns,960
day 3 part 2,,,,,80106416.0,ns,972
day 3 part 2,,,,,85375644.0,ns,984
day 3 part 2,,,,,86804951.0,ns,996
day 3 part 2,,,,,83661334.0,ns,1008
day 3 part 2,,,,,86677151.0,ns,1020
day 3 part 2,,,,,87861956.0,ns,1032
day 3 part 2,,,,,86163548.0,ns,1044
day 3 part 2,,,,,93414985.0,ns,1056
day 3 part 2,,,,,92507580.0,ns,1068
day 3 part 2,,,,,87118653.0,ns,1080
day 3 part 2,,,,,86411349.0,ns,1092
day 3 part 2,,,,,94218589.0,ns,1104
day 3 part 2,,,,,94176989.0,ns,1116
day 3 part 2,,,,,99955120.0,ns,1128
day 3 part 2,,,,,90857172.0,ns,1140
day 3 part 2,,,,,89872666.0,ns,1152
day 3 part 2,,,,,94549592.0,ns,1164
day 3 part 2,,,,,101651028.0,ns,1176
day 3 part 2,,,,,104528143.0,ns,1188
day 3 part 2,,,,,101856229.0,ns,1200
