group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 3 part 1,,,,,1044012.0,ns,13
day 3 part 1,,,,,2244125.0,ns,26
day 3 part 1,,,,,4204548.0,ns,39
day 3 part 1,,,,,4456750.0,ns,52
day 3 part 1,,,,,5415061.0,ns,65
day 3 part 1,,,,,6260371.0,ns,78
day 3 part 1,,,,,8955201.0,ns,91
day 3 part 1,,,,,7707187.0,ns,104
day 3 part 1,,,,,9112803.0,ns,117
day 3 part 1,,,,,10473019.0,ns,130
day 3 part 1,,,,,10826022.0,ns,143
day 3 part 1,,,,,11617931.0,ns,156
day 3 part 1,,,,,12906546.0,ns,169
day 3 part 1,,,,,13564854.0,ns,182
day 3 part 1,,,,,15166671.0,ns,195
day 3 part 1,,,,,17577399.0,ns,208
day 3 part 1,,,,,18083104.0,ns,221
day 3 part 1,,,,,17941903.0,ns,234
day 3 part 1,,,,,18961014.0,ns,247
day 3 part 1,,,,,20350530.0,ns,260
day 3 part 1,,,,,20914937.0,ns,273
day 3 part 1,,,,,22927559.0,ns,286
day 3 part 1,,,,,24034571.0,ns,299
day 3 part 1,,,,,24460577.0,ns,312
day 3 part 1,,,,,24314475.0,ns,325
day 3 part 1,,,,,28616923.0,ns,338
day 3 part 1,,,,,29713636.0,ns,351
day 3 part 1,,,,,32047862.0,ns,364
day 3 part 1,,,,,31981562.0,ns,377
day 3 part 1,,,,,32618168.0,ns,390
day 3 part 1,,,,,34396189.0,ns,403
day 3 part 1,,,,,33784982.0,ns,416
day 3 part 1,,,,,34686292.0,ns,429
day 3 part 1,,,,,33854783.0,ns,442
day 3 part 1,,,,,34656491.0,ns,455
day 3 part 1,,,,,36873917.0,ns,468
day 3 part 1,,,,,38563736.0,ns,481
day 3 part 1,,,,,40381256.0,ns,494
day 3 part 1,,,,,43376791.0,ns,507
day 3 part 1,,,,,43640193.0,ns,520
day 3 part 1,,,,,44718205.0,ns,533
day 3 part 1,,,,,42785484.0,ns,546
day 3 part 1,,,,,48206145.0,ns,559
day 3 part 1,,,,,46764428.0,ns,572
day 3 part 1,,,,,46728729.0,ns,585
day 3 part 1,,,,,48219045.0,ns,598
day 3 part 1,,,,,49236756.0,ns,611
day 3 part 1,,,,,50891075.0,ns,624
day 3 part 1,,,,,47456837.0,ns,637
day 3 part 1,,,,,51905686.0,ns,650
day 3 part 1,,,,,54669318.0,ns,663
day 3 part 1,,,,,54073911.0,ns,676
day 3 part 1,,,,,55179924.0,ns,689
day 3 part 1,,,,,54612217.0,ns,702
day 3 part 1,,,,,56801142.0,ns,715
day 3 part 1,,,,,54382015.0,ns,728
day 3 part 1,,,,,54391615.0,ns,741
day 3 part 1,,,,,60364882.0,ns,754
day 3 part 1,,,,,62025151.0,ns,767
day 3 part 1,,,,,64442501.0,ns,780
day 3 part 1,,,,,62409176.0,ns,793
day 3 part 1,,,,,60718455.0,ns,806
day 3 part 1,,,,,62812181.0,ns,819
day 3 part 1,,,,,68026845.0,ns,832
day 3 part 1,,,,,66939033.0,ns,845
day 3 part 1,,,,,68311049.0,ns,858
day 3 part 1,,,,,66010021.0,ns,871
day 3 part 1,,,,,66831631.0,ns,884
day 3 part 1,,,,,67740442.0,ns,897
day 3 part 1,,,,,74062521.0,ns,910
day 3 part 1,,,,,70019570.0,ns,923
day 3 part 1,,,,,67245637.0,ns,936
day 3 part 1,,,,,75127134.0,ns,949
day 3 part 1,,,,,81686415.0,ns,962
day 3 part 1,,,,,77752767.0,ns,975
day 3 part 1,,,,,78483476.0,ns,988
day 3 part 1,,,,,78111371.0,ns,1001
day 3 part 1,,,,,81387712.0,ns,1014
day 3 part 1,,,,,78638278.0,ns,1027
day 3 part 1,,,,,81365211.0,ns,1040
day 3 part 1,,,,,79540089.0,ns,1053
day 3 part 1,,,,,80263098.0,ns,1066
day 3 part 1,,,,,78757779.0,ns,1079
day 3 part 1,,,,,79152985.0,ns,1092
day 3 part 1,,,,,82167121.0,ns,1105
day 3 part 1,,,,,90383124.0,ns,1118
day 3 part 1,,,,,89351311.0,ns,1131
day 3 part 1,,,,,93521663.0,ns,1144
day 3 part 1,,,,,88128395.0,ns,1157
day 3 part 1,,,,,90237822.0,ns,1170
day 3 part 1,,,,,87139884.0,ns,1183
day 3 part 1,,,,,95091582.0,ns,1196
day 3 part 1,,,,,93674665.0,ns,1209
day 3 part 1,,,,,91336235.0,ns,1222
day 3 part 1,,,,,103119083.0,ns,1235
day 3 part 1,,,,,92249447.0,ns,1248
day 3 part 1,,,,,97321210.0,ns,1261
day 3 part 1,,,,,97112407.0,ns,1274
day 3 part 1,,,,,102284072.0,ns,1287
day 3 part 1,,,,,104807603.0,ns,1300
