group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 9 part 1,,,,,977707.0,ns,16
day 9 part 1,,,,,1961313.0,ns,32
day 9 part 1,,,,,2884621.0,ns,48
day 9 part 1,,,,,4474132.0,ns,64
day 9 part 1,,,,,5319937.0,ns,80
day 9 part 1,,,,,5972242.0,ns,96
day 9 part 1,,,,,7659455.0,ns,112
day 9 part 1,,,,,8246958.0,ns,128
day 9 part 1,,,,,9173265.0,ns,144
day 9 part 1,,,,,10295273.0,ns,160
day 9 part 1,,,,,12371988.0,ns,176
day 9 part 1,,,,,11765983.0,ns,192
day 9 part 1,,,,,12025585.0,ns,208
day 9 part 1,,,,,13804198.0,ns,224
day 9 part 1,,,,,13668497.0,ns,240
day 9 part 1,,,,,16385616.0,ns,256
day 9 part 1,,,,,15470609.0,ns,272
day 9 part 1,,,,,18936734.0,ns,288
day 9 part 1,,,,,18402730.0,ns,304
day 9 part 1,,,,,19049935.0,ns,320
day 9 part 1,,,,,21405952.0,ns,336
day 9 part 1,,,,,21761054.0,ns,352
day 9 part 1,,,,,21153850.0,ns,368
day 9 part 1,,,,,24082470.0,ns,384
day 9 part 1,,,,,22887762.0,ns,400
day 9 part 1,,,,,23791969.0,ns,416
day 9 part 1,,,,,25714682.0,ns,432
day 9 part 1,,,,,29506609.0,ns,448
day 9 part 1,,,,,28316900.0,ns,464
day 9 part 1,,,,,28316301.0,ns,480
day 9 part 1,,,,,29992612.0,ns,496
day 9 part 1,,,,,34989648.0,ns,512
day 9 part 1,,,,,34762246.0,ns,528
day 9 part 1,,,,,36322357.0,ns,544
day 9 part 1,,,,,41566695.0,ns,560
day 9 part 1,,,,,39652480.0,ns,576
day 9 part 1,,,,,45545123.0,ns,592
day 9 part 1,,,,,43142405.0,ns,608
day 9 part 1,,,,,44844118.0,ns,624
day 9 part 1,,,,,51064661.0,ns,640
day 9 part 1,,,,,52076469.0,ns,656
day 9 part 1,,,,,45013319.0,ns,672
day 9 part 1,,,,,41418093.0,ns,688
day 9 part 1,,,,,43557108.0,ns,704
day 9 part 1,,,,,44390815.0,ns,720
day 9 part 1,,,,,41992997.0,ns,736
day 9 part 1,,,,,50890160.0,ns,752
day 9 part 1,,,,,46052426.0,ns,768
day 9 part 1,,,,,49148948.0,ns,784
day 9 part 1,,,,,49449551.0,ns,800
day 9 part 1,,,,,54602186.0,ns,816
day 9 part 1,,,,,50234956.0,ns,832
day 9 part 1,,,,,50739659.0,ns,848
day 9 part 1,,,,,54953789.0,ns,864
day 9 part 1,,,,,58626715.0,ns,880
day 9 part 1,,,,,57062304.0,ns,896
day 9 part 1,,,,,59867924.0,ns,912
day 9 part 1,,,,,58335313.0,ns,928
day 9 part 1,,,,,62037639.0,ns,944
day 9 part 1,,,,,70378799.0,ns,960
day 9 part 1,,,,,63685051.0,ns,976
day 9 part 1,,,,,61459535.0,ns,992
day 9 part 1,,,,,63089647.0,ns,1008
day 9 part 1,,,,,62346841.0,ns,1024
day 9 part 1,,,,,61171633.0,ns,1040
day 9 part 1,,,,,70714301.0,ns,1056
day 9 part 1,,,,,63806052.0,ns,1072
day 9 part 1,,,,,67728479.0,ns,1088
day 9 part 1,,,,,66102668.0,ns,1104
day 9 part 1,,,,,69870995.0,ns,1120
day 9 part 1,,,,,75222633.0,ns,1136
day 9 part 1,,,,,72814415.0,ns,1152
day 9 part 1,,,,,76354441.0,ns,1168
day 9 part 1,,,,,82009280.0,ns,1184
day 9 part 1,,,,,78576957.0,ns,1200
day 9 part 1,,,,,81077474.0,ns,1216
day 9 part 1,,,,,78748557.0,ns,1232
day 9 part 1,,,,,85889008.0,ns,1248
day 9 part 1,,,,,84342498.0,ns,1264
day 9 part 1,,,,,76203139.0,ns,1280
day 9 part 1,,,,,79906266.0,ns,1296
day 9 part 1,,,,,82254182.0,ns,1312
day 9 part 1,,,,,80927173.0,ns,1328
day 9 part 1,,,,,81876980.0,ns,1344
day 9 part 1,,,,,91699549.0,ns,1360
day 9 part 1,,,,,92330754.0,ns,1376
day 9 part 1,,,,,93277661.0,ns,1392
day 9 part 1,,,,,93325160.0,ns,1408
day 9 part 1,,,,,90556941.0,ns,1424
day 9 part 1,,,,,89971037.0,ns,1440
day 9 part 1,,,,,94817472.0,ns,1456
day 9 part 1,,,,,92427154.0,ns,1472
day 9 part 1,,,,,91737650.0,ns,1488
day 9 part 1,,,,,91477247.0,ns,1504
day 9 part 1,,,,,98595299.0,ns,1520
day 9 part 1,,,,,101074115.0,ns,1536
day 9 part 1,,,,,95023773.0,ns,1552
day 9 part 1,,,,,102339025.0,ns,1568
day 9 part 1,,,,,102732727.0,ns,1584
day 9 part 1,,,,,107021558.0,ns,1600
