group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 4 part 2,,,,,1020212.0,ns,30
day 4 part 2,,,,,2021324.0,ns,60
day 4 part 2,,,,,3077236.0,ns,90
day 4 part 2,,,,,4076349.0,ns,120
day 4 part 2,,,,,5088460.0,ns,150
day 4 part 2,,,,,6088772.0,ns,180
day 4 part 2,,,,,7174185.0,ns,210
day 4 part 2,,,,,8148696.0,ns,240
day 4 part 2,,,,,8872305.0,ns,270
day 4 part 2,,,,,9994119.0,ns,300
day 4 part 2,,,,,10984730.0,ns,330
day 4 part 2,,,,,12272745.0,ns,360
day 4 part 2,,,,,13396058.0,ns,390
day 4 part 2,,,,,14285270.0,ns,420
day 4 part 2,,,,,15375982.0,ns,450
day 4 part 2,,,,,15954488.0,ns,480
day 4 part 2,,,,,17034802.0,ns,510
day 4 part 2,,,,,18016613.0,ns,540
day 4 part 2,,,,,19286429.0,ns,570
day 4 part 2,,,,,20062437.0,ns,600
day 4 part 2,,,,,20398642.0,ns,630
day 4 part 2,,,,,22080861.0,ns,660
day 4 part 2,,,,,23019473.0,ns,690
day 4 part 2,,,,,24381488.0,ns,720
day 4 part 2,,,,,25312400.0,ns,750
day 4 part 2,,,,,26286911.0,ns,780
day 4 part 2,,,,,26592115.0,ns,810
day 4 part 2,,,,,28534038.0,ns,840
day 4 part 2,,,,,29401348.0,ns,870
day 4 part 2,,,,,30660563.0,ns,900
day 4 part 2,,,,,31243070.0,ns,930
day 4 part 2,,,,,32317582.0,ns,960
day 4 part 2,,,,,33506997.0,ns,990
day 4 part 2,,,,,34466108.0,ns,1020
day 4 part 2,,,,,35376819.0,ns,1050
day 4 part 2,,,,,36157228.0,ns,1080
day 4 part 2,,,,,37337342.0,ns,1110
day 4 part 2,,,,,38581756.0,ns,1140
day 4 part 2,,,,,39661370.0,ns,1170
day 4 part 2,,,,,40816983.0,ns,1200
day 4 part 2,,,,,41318189.0,ns,1230
day 4 part 2,,,,,42865508.0,ns,1260
day 4 part 2,,,,,44148122.0,ns,1290
day 4 part 2,,,,,45229336.0,ns,1320
day 4 part 2,,,,,46041045.0,ns,1350
day 4 part 2,,,,,46929455.0,ns,1380
day 4 part 2,,,,,46450950.0,ns,1410
day 4 part 2,,,,,48379673.0,ns,1440
day 4 part 2,,,,,50130793.0,ns,1470
day 4 part 2,,,,,51368708.0,ns,1500
day 4 part 2,,,,,52122417.0,ns,1530
day 4 part 2,,,,,53060328.0,ns,1560
day 4 part 2,,,,,52895627.0,ns,1590
day 4 part 2,,,,,53933438.0,ns,1620
day 4 part 2,,,,,55577558.0,ns,1650
day 4 part 2,,,,,57335279.0,ns,1680
day 4 part 2,,,,,57910885.0,ns,1710
day 4 part 2,,,,,59074300.0,ns,1740
day 4 part 2,,,,,60361614.0,ns,1770
day 4 part 2,,,,,60630218.0,ns,1800
day 4 part 2,,,,,62441639.0,ns,1830
day 4 part 2,,,,,63430051.0,ns,1860
day 4 part 2,,,,,64128859.0,ns,1890
day 4 part 2,,,,,65356874.0,ns,1920
day 4 part 2,,,,,66410686.0,ns,1950
day 4 part 2,,,,,67367698.0,ns,1980
day 4 part 2,,,,,68320008.0,ns,2010
day 4 part 2,,,,,69561724.0,ns,2040
day 4 part 2,,,,,70824838.0,ns,2070
day 4 part 2,,,,,70692937.0,ns,2100
day 4 part 2,,,,,70504435.0,ns,2130
day 4 part 2,,,,,70563835.0,ns,2160
day 4 part 2,,,,,72371357.0,ns,2190
day 4 part 2,,,,,74458281.0,ns,2220
day 4 part 2,,,,,76454805.0,ns,2250
day 4 part 2,,,,,74362481.0,ns,2280
day 4 part 2,,,,,76851309.0,ns,2310
day 4 part 2,,,,,78873234.0,ns,2340
day 4 part 2,,,,,80303251.0,ns,2370
day 4 part 2,,,,,80998558.0,ns,2400
day 4 part 2,,,,,80043448.0,ns,2430
day 4 part 2,,,,,81012759.0,ns,2460
day 4 part 2,,,,,81912670.0,ns,2490
day 4 part 2,,,,,83929293.0,ns,2520
day 4 part 2,,,,,85306910.0,ns,2550
day 4 part 2,,,,,86801028.0,ns,2580
day 4 part 2,,,,,88458247.0,ns,2610
day 4 part 2,,,,,89317457.0,ns,2640
day 4 part 2,,,,,90218368.0,ns,2670
day 4 part 2,,,,,90196068.0,ns,2700
day 4 part 2,,,,,92682897.0,ns,2730
day 4 part 2,,,,,94096214.0,ns,2760
day 4 part 2,,,,,91987189.0,ns,2790
day 4 part 2,,,,,93694709.0,ns,2820
day 4 part 2,,,,,95749534.0,ns,2850
day 4 part 2,,,,,97374652.0,ns,2880
day 4 part 2,,,,,97247451.0,ns,2910
day 4 part 2,,,,,96826947.0,ns,2940
day 4 part 2,,,,,96332440.0,ns,2970
day 4 part 2,,,,,96275940.0,ns,3000
