group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 13 part 2,,,,,991671.0,ns,126
day 13 part 2,,,,,1987643.0,ns,252
day 13 part 2,,,,,2972814.0,ns,378
day 13 part 2,,,,,3898381.0,ns,504
day 13 part 2,,,,,4961457.0,ns,630
day 13 part 2,,,,,5890224.0,ns,756
day 13 part 2,,,,,6963002.0,ns,882
day 13 part 2,,,,,7842565.0,ns,1008
day 13 part 2,,,,,8873739.0,ns,1134
day 13 part 2,,,,,9970418.0,ns,1260
day 13 part 2,,,,,10907286.0,ns,1386
day 13 part 2,,,,,11917658.0,ns,1512
day 13 part 2,,,,,12890129.0,ns,1638
day 13 part 2,,,,,13948205.0,ns,1764
day 13 part 2,,,,,14909774.0,ns,1890
day 13 part 2,,,,,15876643.0,ns,2016
day 13 part 2,,,,,16909718.0,ns,2142
day 13 part 2,,,,,17845986.0,ns,2268
day 13 part 2,,,,,18888660.0,ns,2394
day 13 part 2,,,,,19830229.0,ns,2520
day 13 part 2,,,,,20841801.0,ns,2646
day 13 part 2,,,,,21781869.0,ns,2772
day 13 part 2,,,,,22797042.0,ns,2898
day 13 part 2,,,,,23753511.0,ns,3024
day 13 part 2,,,,,24858791.0,ns,3150
day 13 part 2,,,,,25796558.0,ns,3276
day 13 part 2,,,,,26839133.0,ns,3402
day 13 part 2,,,,,27786702.0,ns,3528
day 13 part 2,,,,,28755171.0,ns,3654
day 13 part 2,,,,,29742342.0,ns,3780
day 13 part 2,,,,,30743715.0,ns,3906
day 13 part 2,,,,,31739186.0,ns,4032
day 13 part 2,,,,,32721557.0,ns,4158
day 13 part 2,,,,,33678326.0,ns,4284
day 13 part 2,,,,,34702300.0,ns,4410
day 13 part 2,,,,,35675369.0,ns,4536
day 13 part 2,,,,,36707444.0,ns,4662
day 13 part 2,,,,,37505902.0,ns,4788
day 13 part 2,,,,,38462470.0,ns,4914
day 13 part 2,,,,,39581251.0,ns,5040
day 13 part 2,,,,,40624426.0,ns,5166
day 13 part 2,,,,,41638099.0,ns,5292
day 13 part 2,,,,,42624770.0,ns,5418
day 13 part 2,,,,,43546137.0,ns,5544
day 13 part 2,,,,,44607013.0,ns,5670
day 13 part 2,,,,,45487477.0,ns,5796
day 13 part 2,,,,,46591456.0,ns,5922
day 13 part 2,,,,,47573127.0,ns,6048
day 13 part 2,,,,,48375684.0,ns,6174
day 13 part 2,,,,,49436961.0,ns,6300
day 13 part 2,,,,,50599445.0,ns,6426
day 13 part 2,,,,,51607917.0,ns,6552
day 13 part 2,,,,,52512683.0,ns,6678
day 13 part 2,,,,,53569559.0,ns,6804
day 13 part 2,,,,,54556629.0,ns,6930
day 13 part 2,,,,,55484897.0,ns,7056
day 13 part 2,,,,,56267753.0,ns,7182
day 13 part 2,,,,,57539345.0,ns,7308
day 13 part 2,,,,,58515715.0,ns,7434
day 13 part 2,,,,,59403979.0,ns,7560
day 13 part 2,,,,,60345346.0,ns,7686
day 13 part 2,,,,,61171907.0,ns,7812
day 13 part 2,,,,,61901058.0,ns,7938
day 13 part 2,,,,,63403967.0,ns,8064
day 13 part 2,,,,,63769294.0,ns,8190
day 13 part 2,,,,,64965279.0,ns,8316
day 13 part 2,,,,,66471388.0,ns,8442
day 13 part 2,,,,,67407256.0,ns,8568
day 13 part 2,,,,,68466232.0,ns,8694
day 13 part 2,,,,,69226986.0,ns,8820
day 13 part 2,,,,,70414472.0,ns,8946
day 13 part 2,,,,,71359840.0,ns,9072
day 13 part 2,,,,,72418517.0,ns,9198
day 13 part 2,,,,,73227274.0,ns,9324
day 13 part 2,,,,,74357456.0,ns,9450
day 13 part 2,,,,,75366229.0,ns,9576
day 13 part 2,,,,,76394203.0,ns,9702
day 13 part 2,,,,,77373173.0,ns,9828
day 13 part 2,,,,,78331543.0,ns,9954
day 13 part 2,,,,,79017791.0,ns,10080
day 13 part 2,,,,,80241680.0,ns,10206
day 13 part 2,,,,,80236980.0,ns,10332
day 13 part 2,,,,,81591777.0,ns,10458
day 13 part 2,,,,,83321802.0,ns,10584
day 13 part 2,,,,,84130560.0,ns,10710
day 13 part 2,,,,,85059227.0,ns,10836
day 13 part 2,,,,,85756277.0,ns,10962
day 13 part 2,,,,,86173607.0,ns,11088
day 13 part 2,,,,,87281187.0,ns,11214
day 13 part 2,,,,,89000111.0,ns,11340
day 13 part 2,,,,,90083589.0,ns,11466
day 13 part 2,,,,,91155266.0,ns,11592
day 13 part 2,,,,,92112335.0,ns,11718
day 13 part 2,,,,,93152509.0,ns,11844
day 13 part 2,,,,,94182285.0,ns,11970
day 13 part 2,,,,,95135052.0,ns,12096
day 13 part 2,,,,,95847604.0,ns,12222
day 13 part 2,,,,,97129397.0,ns,12348
day 13 part 2,,,,,98309881.0,ns,12474
day 13 part 2,,,,,98915925.0,ns,12600
