group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 11 part 1,,,,,70454660.0,ns,3
day 11 part 1,,,,,65811626.0,ns,3
day 11 part 1,,,,,62028755.0,ns,3
day 11 part 1,,,,,67550551.0,ns,3
day 11 part 1,,,,,61080686.0,ns,3
day 11 part 1,,,,,61549920.0,ns,3
day 11 part 1,,,,,66770695.0,ns,3
day 11 part 1,,,,,62661200.0,ns,3
day 11 part 1,,,,,69259573.0,ns,3
day 11 part 1,,,,,67186925.0,ns,3
day 11 part 1,,,,,61698831.0,ns,3
day 11 part 1,,,,,68783840.0,ns,3
day 11 part 1,,,,,61097888.0,ns,3
day 11 part 1,,,,,64203511.0,ns,3
day 11 part 1,,,,,62152363.0,ns,3
day 11 part 1,,,,,61466414.0,ns,3
day 11 part 1,,,,,67876075.0,ns,3
day 11 part 1,,,,,63971894.0,ns,3
day 11 part 1,,,,,61871143.0,ns,3
day 11 part 1,,,,,61438312.0,ns,3
day 11 part 1,,,,,61945349.0,ns,3
day 11 part 1,,,,,61500016.0,ns,3
day 11 part 1,,,,,60840370.0,ns,3
day 11 part 1,,,,,65450000.0,ns,3
day 11 part 1,,,,,66703490.0,ns,3
day 11 part 1,,,,,61297402.0,ns,3
day 11 part 1,,,,,63415754.0,ns,3
day 11 part 1,,,,,62265372.0,ns,3
day 11 part 1,,,,,64269916.0,ns,3
day 11 part 1,,,,,61038983.0,ns,3
day 11 part 1,,,,,63091731.0,ns,3
day 11 part 1,,,,,65458001.0,ns,3
day 11 part 1,,,,,65675216.0,ns,3
day 11 part 1,,,,,68014185.0,ns,3
day 11 part 1,,,,,67087318.0,ns,3
day 11 part 1,,,,,61329604.0,ns,3
day 11 part 1,,,,,61769736.0,ns,3
day 11 part 1,,,,,61483615.0,ns,3
day 11 part 1,,,,,60957578.0,ns,3
day 11 part 1,,,,,61298102.0,ns,3
day 11 part 1,,,,,71578840.0,ns,3
day 11 part 1,,,,,64037899.0,ns,3
day 11 part 1,,,,,68880447.0,ns,3
day 11 part 1,,,,,64160508.0,ns,3
day 11 part 1,,,,,62347677.0,ns,3
day 11 part 1,,,,,64380324.0,ns,3
day 11 part 1,,,,,63324047.0,ns,3
day 11 part 1,,,,,61996152.0,ns,3
day 11 part 1,,,,,66518177.0,ns,3
day 11 part 1,,,,,61683030.0,ns,3
day 11 part 1,,,,,61318104.0,ns,3
day 11 part 1,,,,,61570821.0,ns,3
day 11 part 1,,,,,61058685.0,ns,3
day 11 part 1,,,,,61672629.0,ns,3
day 11 part 1,,,,,61223597.0,ns,3
day 11 part 1,,,,,67864474.0,ns,3
day 11 part 1,,,,,70187840.0,ns,3
day 11 part 1,,,,,61815139.0,ns,3
day 11 part 1,,,,,69629001.0,ns,3
day 11 part 1,,,,,69836415.0,ns,3
day 11 part 1,,,,,64205411.0,ns,3
day 11 part 1,,,,,61262800.0,ns,3
day 11 part 1,,,,,63193138.0,ns,3
day 11 part 1,,,,,64045599.0,ns,3
day 11 part 1,,,,,67541051.0,ns,3
day 11 part 1,,,,,61922201.0,ns,3
day 11 part 1,,,,,61197528.0,ns,3
day 11 part 1,,,,,69533018.0,ns,3
day 11 part 1,,,,,61561354.0,ns,3
day 11 part 1,,,,,61711464.0,ns,3
day 11 part 1,,,,,62243502.0,ns,3
day 11 part 1,,,,,62107292.0,ns,3
day 11 part 1,,,,,67232255.0,ns,3
day 11 part 1,,,,,63377682.0,ns,3
day 11 part 1,,,,,65368823.0,ns,3
day 11 part 1,,,,,65921962.0,ns,3
day 11 part 1,,,,,63523393.0,ns,3
day 11 part 1,,,,,61393941.0,ns,3
day 11 part 1,,,,,61001815.0,ns,3
day 11 part 1,,,,,64092232.0,ns,3
day 11 part 1,,,,,66569408.0,ns,3
day 11 part 1,,,,,61351539.0,ns,3
day 11 part 1,,,,,62090591.0,ns,3
day 11 part 1,,,,,63488690.0,ns,3
day 11 part 1,,,,,61607957.0,ns,3
day 11 part 1,,,,,66657714.0,ns,3
day 11 part 1,,,,,69380707.0,ns,3
day 11 part 1,,,,,65341821.0,ns,3
day 11 part 1,,,,,72193306.0,ns,3
day 11 part 1,,,,,70101257.0,ns,3
day 11 part 1,,,,,62081591.0,ns,3
day 11 part 1,,,,,61724765.0,ns,3
day 11 part 1,,,,,61221030.0,ns,3
day 11 part 1,,,,,61801070.0,ns,3
day 11 part 1,,,,,62004685.0,ns,3
day 11 part 1,,,,,64561966.0,ns,3
day 11 part 1,,,,,63889119.0,ns,3
day 11 part 1,,,,,61486048.0,ns,3
day 11 part 1,,,,,63878218.0,ns,3
day 11 part 1,,,,,61336037.0,ns,3
