group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 17 part 2,,,,,82006080.0,ns,2
day 17 part 2,,,,,82183093.0,ns,2
day 17 part 2,,,,,80899100.0,ns,2
day 17 part 2,,,,,81726761.0,ns,2
day 17 part 2,,,,,81975778.0,ns,2
day 17 part 2,,,,,81363334.0,ns,2
day 17 part 2,,,,,82413409.0,ns,2
day 17 part 2,,,,,82204394.0,ns,2
day 17 part 2,,,,,82309002.0,ns,2
day 17 part 2,,,,,82240997.0,ns,2
day 17 part 2,,,,,82455113.0,ns,2
day 17 part 2,,,,,82203494.0,ns,2
day 17 part 2,,,,,82049983.0,ns,2
day 17 part 2,,,,,80975306.0,ns,2
day 17 part 2,,,,,82182593.0,ns,2
day 17 part 2,,,,,82386408.0,ns,2
day 17 part 2,,,,,81978178.0,ns,2
day 17 part 2,,,,,81782164.0,ns,2
day 17 part 2,,,,,81851669.0,ns,2
day 17 part 2,,,,,82261998.0,ns,2
day 17 part 2,,,,,82265899.0,ns,2
day 17 part 2,,,,,82106788.0,ns,2
day 17 part 2,,,,,82329503.0,ns,2
day 17 part 2,,,,,81785464.0,ns,2
day 17 part 2,,,,,81803566.0,ns,2
day 17 part 2,,,,,82503816.0,ns,2
day 17 part 2,,,,,82311002.0,ns,2
day 17 part 2,,,,,82483814.0,ns,2
day 17 part 2,,,,,82405009.0,ns,2
day 17 part 2,,,,,82342004.0,ns,2
day 17 part 2,,,,,81094215.0,ns,2
day 17 part 2,,,,,81923074.0,ns,2
day 17 part 2,,,,,82078185.0,ns,2
day 17 part 2,,,,,82431011.0,ns,2
day 17 part 2,,,,,82503116.0,ns,2
day 17 part 2,,,,,82554919.0,ns,2
day 17 part 2,,,,,82440212.0,ns,2
day 17 part 2,,,,,82343404.0,ns,2
day 17 part 2,,,,,82457213.0,ns,2
day 17 part 2,,,,,82021981.0,ns,2
day 17 part 2,,,,,82025981.0,ns,2
day 17 part 2,,,,,82329104.0,ns,2
day 17 part 2,,,,,82235896.0,ns,2
day 17 part 2,,,,,82212195.0,ns,2
day 17 part 2,,,,,82292642.0,ns,2
day 17 part 2,,,,,82416458.0,ns,2
day 17 part 2,,,,,82328651.0,ns,2
day 17 part 2,,,,,82211943.0,ns,2
day 17 part 2,,,,,81277275.0,ns,2
day 17 part 2,,,,,81933722.0,ns,2
day 17 part 2,,,,,82361354.0,ns,2
day 17 part 2,,,,,82255146.0,ns,2
day 17 part 2,,,,,82064332.0,ns,2
day 17 part 2,,,,,82411557.0,ns,2
day 17 part 2,,,,,82616972.0,ns,2
day 17 part 2,,,,,82170840.0,ns,2
day 17 part 2,,,,,82254445.0,ns,2
day 17 part 2,,,,,82374854.0,ns,2
day 17 part 2,,,,,82438559.0,ns,2
day 17 part 2,,,,,82359854.0,ns,2
day 17 part 2,,,,,82189141.0,ns,2
day 17 part 2,,,,,82129736.0,ns,2
day 17 part 2,,,,,82265747.0,ns,2
day 17 part 2,,,,,82419658.0,ns,2
day 17 part 2,,,,,82308349.0,ns,2
day 17 part 2,,,,,82444460.0,ns,2
day 17 part 2,,,,,82206142.0,ns,2
day 17 part 2,,,,,82412658.0,ns,2
day 17 part 2,,,,,82415157.0,ns,2
day 17 part 2,,,,,82243645.0,ns,2
day 17 part 2,,,,,82208742.0,ns,2
day 17 part 2,,,,,82209543.0,ns,2
day 17 part 2,,,,,82121736.0,ns,2
day 17 part 2,,,,,81734408.0,ns,2
day 17 part 2,,,,,82357954.0,ns,2
day 17 part 2,,,,,82409857.0,ns,2
day 17 part 2,,,,,82350452.0,ns,2
day 17 part 2,,,,,82387256.0,ns,2
day 17 part 2,,,,,82224043.0,ns,2
day 17 part 2,,,,,81975326.0,ns,2
day 17 part 2,,,,,82213843.0,ns,2
day 17 part 2,,,,,82330351.0,ns,2
day 17 part 2,,,,,82265347.0,ns,2
day 17 part 2,,,,,82536466.0,ns,2
day 17 part 2,,,,,82066132.0,ns,2
day 17 part 2,,,,,82364554.0,ns,2
day 17 part 2,,,,,82235244.0,ns,2
day 17 part 2,,,,,82296549.0,ns,2
day 17 part 2,,,,,82119136.0,ns,2
day 17 part 2,,,,,82422658.0,ns,2
day 17 part 2,,,,,82311850.0,ns,2
day 17 part 2,,,,,82314050.0,ns,2
day 17 part 2,,,,,82210343.0,ns,2
day 17 part 2,,,,,82486062.0,ns,2
day 17 part 2,,,,,82447660.0,ns,2
day 17 part 2,,,,,82474862.0,ns,2
day 17 part 2,,,,,82278647.0,ns,2
day 17 part 2,,,,,82285448.0,ns,2
day 17 part 2,,,,,82478962.0,ns,2
day 17 part 2,,,,,82481162.0,ns,2
