group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 18 part 2,,,,,1234189.0,ns,5
day 18 part 2,,,,,2471079.0,ns,10
day 18 part 2,,,,,3710469.0,ns,15
day 18 part 2,,,,,4958960.0,ns,20
day 18 part 2,,,,,6175548.0,ns,25
day 18 part 2,,,,,7349233.0,ns,30
day 18 part 2,,,,,8692631.0,ns,35
day 18 part 2,,,,,9899118.0,ns,40
day 18 part 2,,,,,11118706.0,ns,45
day 18 part 2,,,,,12350696.0,ns,50
day 18 part 2,,,,,13578885.0,ns,55
day 18 part 2,,,,,14851577.0,ns,60
day 18 part 2,,,,,16052064.0,ns,65
day 18 part 2,,,,,17232050.0,ns,70
day 18 part 2,,,,,18519043.0,ns,75
day 18 part 2,,,,,19668527.0,ns,80
day 18 part 2,,,,,20947919.0,ns,85
day 18 part 2,,,,,22203610.0,ns,90
day 18 part 2,,,,,23453901.0,ns,95
day 18 part 2,,,,,24719393.0,ns,100
day 18 part 2,,,,,25997286.0,ns,105
day 18 part 2,,,,,27206373.0,ns,110
day 18 part 2,,,,,28466465.0,ns,115
day 18 part 2,,,,,29620848.0,ns,120
day 18 part 2,,,,,30896541.0,ns,125
day 18 part 2,,,,,32098728.0,ns,130
day 18 part 2,,,,,33339318.0,ns,135
day 18 part 2,,,,,34609910.0,ns,140
day 18 part 2,,,,,35865401.0,ns,145
day 18 part 2,,,,,37077890.0,ns,150
day 18 part 2,,,,,38233873.0,ns,155
day 18 part 2,,,,,39518566.0,ns,160
day 18 part 2,,,,,40781658.0,ns,165
day 18 part 2,,,,,41939542.0,ns,170
day 18 part 2,,,,,43240636.0,ns,175
day 18 part 2,,,,,44527129.0,ns,180
day 18 part 2,,,,,45722616.0,ns,185
day 18 part 2,,,,,46982008.0,ns,190
day 18 part 2,,,,,48213197.0,ns,195
day 18 part 2,,,,,49391182.0,ns,200
day 18 part 2,,,,,50691477.0,ns,205
day 18 part 2,,,,,51916165.0,ns,210
day 18 part 2,,,,,53149755.0,ns,215
day 18 part 2,,,,,54389645.0,ns,220
day 18 part 2,,,,,55575030.0,ns,225
day 18 part 2,,,,,56856324.0,ns,230
day 18 part 2,,,,,58080613.0,ns,235
day 18 part 2,,,,,59330203.0,ns,240
day 18 part 2,,,,,60556592.0,ns,245
day 18 part 2,,,,,61828084.0,ns,250
day 18 part 2,,,,,63000269.0,ns,255
day 18 part 2,,,,,64408372.0,ns,260
day 18 part 2,,,,,65463248.0,ns,265
day 18 part 2,,,,,66791244.0,ns,270
day 18 part 2,,,,,68133242.0,ns,275
day 18 part 2,,,,,69166216.0,ns,280
day 18 part 2,,,,,70495313.0,ns,285
day 18 part 2,,,,,71663198.0,ns,290
day 18 part 2,,,,,72848283.0,ns,295
day 18 part 2,,,,,74206682.0,ns,300
day 18 part 2,,,,,75375567.0,ns,305
day 18 part 2,,,,,76528551.0,ns,310
day 18 part 2,,,,,77804843.0,ns,315
day 18 part 2,,,,,79050433.0,ns,320
day 18 part 2,,,,,80378630.0,ns,325
day 18 part 2,,,,,81604719.0,ns,330
day 18 part 2,,,,,82796505.0,ns,335
day 18 part 2,,,,,83914986.0,ns,340
day 18 part 2,,,,,85396193.0,ns,345
day 18 part 2,,,,,86524775.0,ns,350
day 18 part 2,,,,,87678259.0,ns,355
day 18 part 2,,,,,88889247.0,ns,360
day 18 part 2,,,,,90277448.0,ns,365
day 18 part 2,,,,,91548240.0,ns,370
day 18 part 2,,,,,92455505.0,ns,375
day 18 part 2,,,,,93952414.0,ns,380
day 18 part 2,,,,,95039793.0,ns,385
day 18 part 2,,,,,96467896.0,ns,390
day 18 part 2,,,,,97663684.0,ns,395
day 18 part 2,,,,,98953477.0,ns,400
day 18 part 2,,,,,100072258.0,ns,405
day 18 part 2,,,,,101304647.0,ns,410
day 18 part 2,,,,,102830458.0,ns,415
day 18 part 2,,,,,103775227.0,ns,420
day 18 part 2,,,,,104726095.0,ns,425
day 18 part 2,,,,,106380716.0,ns,430
day 18 part 2,,,,,107544800.0,ns,435
day 18 part 2,,,,,108654881.0,ns,440
day 18 part 2,,,,,109970076.0,ns,445
day 18 part 2,,,,,111139660.0,ns,450
day 18 part 2,,,,,112465715.0,ns,455
day 18 part 2,,,,,113706861.0,ns,460
day 18 part 2,,,,,114916047.0,ns,465
day 18 part 2,,,,,116333149.0,ns,470
day 18 part 2,,,,,117253516.0,ns,475
day 18 part 2,,,,,118610412.0,ns,480
day 18 part 2,,,,,119748694.0,ns,485
day 18 part 2,,,,,120913778.0,ns,490
day 18 part 2,,,,,122032258.0,ns,495
day 18 part 2,,,,,123102735.0,ns,500
