group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 10 part 1,,,,,873046.0,ns,459
day 10 part 1,,,,,1842395.0,ns,918
day 10 part 1,,,,,2947454.0,ns,1377
day 10 part 1,,,,,3327173.0,ns,1836
day 10 part 1,,,,,5400781.0,ns,2295
day 10 part 1,,,,,5987612.0,ns,2754
day 10 part 1,,,,,7805006.0,ns,3213
day 10 part 1,,,,,9174878.0,ns,3672
day 10 part 1,,,,,9799310.0,ns,4131
day 10 part 1,,,,,10669156.0,ns,4590
day 10 part 1,,,,,11294188.0,ns,5049
day 10 part 1,,,,,12510251.0,ns,5508
day 10 part 1,,,,,13187887.0,ns,5967
day 10 part 1,,,,,14386549.0,ns,6426
day 10 part 1,,,,,15263494.0,ns,6885
day 10 part 1,,,,,16028335.0,ns,7344
day 10 part 1,,,,,17250698.0,ns,7803
day 10 part 1,,,,,18216248.0,ns,8262
day 10 part 1,,,,,19644423.0,ns,8721
day 10 part 1,,,,,21598624.0,ns,9180
day 10 part 1,,,,,22091950.0,ns,9639
day 10 part 1,,,,,21944843.0,ns,10098
day 10 part 1,,,,,22038747.0,ns,10557
day 10 part 1,,,,,22557675.0,ns,11016
day 10 part 1,,,,,23827840.0,ns,11475
day 10 part 1,,,,,26161962.0,ns,11934
day 10 part 1,,,,,26715591.0,ns,12393
day 10 part 1,,,,,29125216.0,ns,12852
day 10 part 1,,,,,34912218.0,ns,13311
day 10 part 1,,,,,32293781.0,ns,13770
day 10 part 1,,,,,28921206.0,ns,14229
day 10 part 1,,,,,31253127.0,ns,14688
day 10 part 1,,,,,32375585.0,ns,15147
day 10 part 1,,,,,30871308.0,ns,15606
day 10 part 1,,,,,30825804.0,ns,16065
day 10 part 1,,,,,33533845.0,ns,16524
day 10 part 1,,,,,34920318.0,ns,16983
day 10 part 1,,,,,35465747.0,ns,17442
day 10 part 1,,,,,35030123.0,ns,17901
day 10 part 1,,,,,36222086.0,ns,18360
day 10 part 1,,,,,38710215.0,ns,18819
day 10 part 1,,,,,44171700.0,ns,19278
day 10 part 1,,,,,39353949.0,ns,19737
day 10 part 1,,,,,44553019.0,ns,20196
day 10 part 1,,,,,41428057.0,ns,20655
day 10 part 1,,,,,42323604.0,ns,21114
day 10 part 1,,,,,44636323.0,ns,21573
day 10 part 1,,,,,49140859.0,ns,22032
day 10 part 1,,,,,46486820.0,ns,22491
day 10 part 1,,,,,45977094.0,ns,22950
day 10 part 1,,,,,46639728.0,ns,23409
day 10 part 1,,,,,50030204.0,ns,23868
day 10 part 1,,,,,54385232.0,ns,24327
day 10 part 1,,,,,59382091.0,ns,24786
day 10 part 1,,,,,53024261.0,ns,25245
day 10 part 1,,,,,60525051.0,ns,25704
day 10 part 1,,,,,63486405.0,ns,26163
day 10 part 1,,,,,60187333.0,ns,26622
day 10 part 1,,,,,64019233.0,ns,27081
day 10 part 1,,,,,63744719.0,ns,27540
day 10 part 1,,,,,60131130.0,ns,27999
day 10 part 1,,,,,59475497.0,ns,28458
day 10 part 1,,,,,63711017.0,ns,28917
day 10 part 1,,,,,60900470.0,ns,29376
day 10 part 1,,,,,62758767.0,ns,29835
day 10 part 1,,,,,61540404.0,ns,30294
day 10 part 1,,,,,63609812.0,ns,30753
day 10 part 1,,,,,69135199.0,ns,31212
day 10 part 1,,,,,74410374.0,ns,31671
day 10 part 1,,,,,80737403.0,ns,32130
day 10 part 1,,,,,69147400.0,ns,32589
day 10 part 1,,,,,71075100.0,ns,33048
day 10 part 1,,,,,69453116.0,ns,33507
day 10 part 1,,,,,71637930.0,ns,33966
day 10 part 1,,,,,73277915.0,ns,34425
day 10 part 1,,,,,83833664.0,ns,34884
day 10 part 1,,,,,76174766.0,ns,35343
day 10 part 1,,,,,79399434.0,ns,35802
day 10 part 1,,,,,79054015.0,ns,36261
day 10 part 1,,,,,75738643.0,ns,36720
day 10 part 1,,,,,84545402.0,ns,37179
day 10 part 1,,,,,89745072.0,ns,37638
day 10 part 1,,,,,97668085.0,ns,38097
day 10 part 1,,,,,84224685.0,ns,38556
day 10 part 1,,,,,83923269.0,ns,39015
day 10 part 1,,,,,94820436.0,ns,39474
day 10 part 1,,,,,92443313.0,ns,39933
day 10 part 1,,,,,92823532.0,ns,40392
day 10 part 1,,,,,88509308.0,ns,40851
day 10 part 1,,,,,93133949.0,ns,41310
day 10 part 1,,,,,97696686.0,ns,41769
day 10 part 1,,,,,96144006.0,ns,42228
day 10 part 1,,,,,102739248.0,ns,42687
day 10 part 1,,,,,97402271.0,ns,43146
day 10 part 1,,,,,90195196.0,ns,43605
day 10 part 1,,,,,89507460.0,ns,44064
day 10 part 1,,,,,90256795.0,ns,44523
day 10 part 1,,,,,92017886.0,ns,44982
day 10 part 1,,,,,95096546.0,ns,45441
day 10 part 1,,,,,94842732.0,ns,45900
