group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 6 part 1,,,,,1075197.0,ns,72
day 6 part 1,,,,,2065293.0,ns,144
day 6 part 1,,,,,3078591.0,ns,216
day 6 part 1,,,,,4007488.0,ns,288
day 6 part 1,,,,,4896085.0,ns,360
day 6 part 1,,,,,6648980.0,ns,432
day 6 part 1,,,,,7157878.0,ns,504
day 6 part 1,,,,,8113075.0,ns,576
day 6 part 1,,,,,9046472.0,ns,648
day 6 part 1,,,,,9230272.0,ns,720
day 6 part 1,,,,,9356672.0,ns,792
day 6 part 1,,,,,10170869.0,ns,864
day 6 part 1,,,,,12226063.0,ns,936
day 6 part 1,,,,,13596458.0,ns,1008
day 6 part 1,,,,,14956055.0,ns,1080
day 6 part 1,,,,,14598155.0,ns,1152
day 6 part 1,,,,,19366141.0,ns,1224
day 6 part 1,,,,,17957645.0,ns,1296
day 6 part 1,,,,,18129845.0,ns,1368
day 6 part 1,,,,,19242141.0,ns,1440
day 6 part 1,,,,,22144233.0,ns,1512
day 6 part 1,,,,,22617131.0,ns,1584
day 6 part 1,,,,,26811718.0,ns,1656
day 6 part 1,,,,,24742025.0,ns,1728
day 6 part 1,,,,,23804227.0,ns,1800
day 6 part 1,,,,,26654819.0,ns,1872
day 6 part 1,,,,,26530119.0,ns,1944
day 6 part 1,,,,,28231214.0,ns,2016
day 6 part 1,,,,,28326514.0,ns,2088
day 6 part 1,,,,,28581313.0,ns,2160
day 6 part 1,,,,,28583912.0,ns,2232
day 6 part 1,,,,,34197596.0,ns,2304
day 6 part 1,,,,,32276202.0,ns,2376
day 6 part 1,,,,,34110396.0,ns,2448
day 6 part 1,,,,,33352898.0,ns,2520
day 6 part 1,,,,,34401195.0,ns,2592
day 6 part 1,,,,,33884597.0,ns,2664
day 6 part 1,,,,,34548995.0,ns,2736
day 6 part 1,,,,,37059487.0,ns,2808
day 6 part 1,,,,,38482282.0,ns,2880
day 6 part 1,,,,,39650680.0,ns,2952
day 6 part 1,,,,,41601373.0,ns,3024
day 6 part 1,,,,,40491776.0,ns,3096
day 6 part 1,,,,,40345177.0,ns,3168
day 6 part 1,,,,,42672370.0,ns,3240
day 6 part 1,,,,,45794861.0,ns,3312
day 6 part 1,,,,,44581764.0,ns,3384
day 6 part 1,,,,,43824366.0,ns,3456
day 6 part 1,,,,,46192759.0,ns,3528
day 6 part 1,,,,,46862758.0,ns,3600
day 6 part 1,,,,,48818251.0,ns,3672
day 6 part 1,,,,,52197441.0,ns,3744
day 6 part 1,,,,,53821936.0,ns,3816
day 6 part 1,,,,,53539437.0,ns,3888
day 6 part 1,,,,,50116947.0,ns,3960
day 6 part 1,,,,,54309134.0,ns,4032
day 6 part 1,,,,,52285641.0,ns,4104
day 6 part 1,,,,,57087826.0,ns,4176
day 6 part 1,,,,,57493825.0,ns,4248
day 6 part 1,,,,,58549821.0,ns,4320
day 6 part 1,,,,,60337316.0,ns,4392
day 6 part 1,,,,,59465819.0,ns,4464
day 6 part 1,,,,,63056708.0,ns,4536
day 6 part 1,,,,,70158886.0,ns,4608
day 6 part 1,,,,,65909899.0,ns,4680
day 6 part 1,,,,,64779903.0,ns,4752
day 6 part 1,,,,,63348506.0,ns,4824
day 6 part 1,,,,,64573704.0,ns,4896
day 6 part 1,,,,,62250410.0,ns,4968
day 6 part 1,,,,,65219369.0,ns,5040
day 6 part 1,,,,,68770725.0,ns,5112
day 6 part 1,,,,,72397210.0,ns,5184
day 6 part 1,,,,,74748580.0,ns,5256
day 6 part 1,,,,,73778099.0,ns,5328
day 6 part 1,,,,,77846384.0,ns,5400
day 6 part 1,,,,,74835061.0,ns,5472
day 6 part 1,,,,,82501136.0,ns,5544
day 6 part 1,,,,,76560273.0,ns,5616
day 6 part 1,,,,,78958733.0,ns,5688
day 6 part 1,,,,,82538228.0,ns,5760
day 6 part 1,,,,,82995724.0,ns,5832
day 6 part 1,,,,,81966657.0,ns,5904
day 6 part 1,,,,,79972927.0,ns,5976
day 6 part 1,,,,,81781050.0,ns,6048
day 6 part 1,,,,,85224457.0,ns,6120
day 6 part 1,,,,,86000657.0,ns,6192
day 6 part 1,,,,,86401359.0,ns,6264
day 6 part 1,,,,,97424778.0,ns,6336
day 6 part 1,,,,,88069762.0,ns,6408
day 6 part 1,,,,,88539562.0,ns,6480
day 6 part 1,,,,,90043565.0,ns,6552
day 6 part 1,,,,,91724568.0,ns,6624
day 6 part 1,,,,,93055471.0,ns,6696
day 6 part 1,,,,,95886476.0,ns,6768
day 6 part 1,,,,,98500180.0,ns,6840
day 6 part 1,,,,,98073580.0,ns,6912
day 6 part 1,,,,,100009784.0,ns,6984
day 6 part 1,,,,,101632186.0,ns,7056
day 6 part 1,,,,,100268184.0,ns,7128
day 6 part 1,,,,,101763486.0,ns,7200
