group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 9 part 2,,,,,1023628.0,ns,18
day 9 part 2,,,,,2034755.0,ns,36
day 9 part 2,,,,,3058383.0,ns,54
day 9 part 2,,,,,4080810.0,ns,72
day 9 part 2,,,,,5092938.0,ns,90
day 9 part 2,,,,,6113766.0,ns,108
day 9 part 2,,,,,7126393.0,ns,126
day 9 part 2,,,,,8168922.0,ns,144
day 9 part 2,,,,,9182349.0,ns,162
day 9 part 2,,,,,10184376.0,ns,180
day 9 part 2,,,,,11209204.0,ns,198
day 9 part 2,,,,,12228331.0,ns,216
day 9 part 2,,,,,13272160.0,ns,234
day 9 part 2,,,,,14264487.0,ns,252
day 9 part 2,,,,,15285014.0,ns,270
day 9 part 2,,,,,16298042.0,ns,288
day 9 part 2,,,,,17320170.0,ns,306
day 9 part 2,,,,,18337897.0,ns,324
day 9 part 2,,,,,19369525.0,ns,342
day 9 part 2,,,,,20373852.0,ns,360
day 9 part 2,,,,,21398381.0,ns,378
day 9 part 2,,,,,22415707.0,ns,396
day 9 part 2,,,,,23439936.0,ns,414
day 9 part 2,,,,,24455163.0,ns,432
day 9 part 2,,,,,25487791.0,ns,450
day 9 part 2,,,,,26489718.0,ns,468
day 9 part 2,,,,,27498145.0,ns,486
day 9 part 2,,,,,28518274.0,ns,504
day 9 part 2,,,,,29531000.0,ns,522
day 9 part 2,,,,,30560929.0,ns,540
day 9 part 2,,,,,31593856.0,ns,558
day 9 part 2,,,,,32600484.0,ns,576
day 9 part 2,,,,,33614111.0,ns,594
day 9 part 2,,,,,34682941.0,ns,612
day 9 part 2,,,,,35652866.0,ns,630
day 9 part 2,,,,,36676395.0,ns,648
day 9 part 2,,,,,37677821.0,ns,666
day 9 part 2,,,,,38702449.0,ns,684
day 9 part 2,,,,,39742678.0,ns,702
day 9 part 2,,,,,40764205.0,ns,720
day 9 part 2,,,,,41784333.0,ns,738
day 9 part 2,,,,,42796660.0,ns,756
day 9 part 2,,,,,43811988.0,ns,774
day 9 part 2,,,,,44826815.0,ns,792
day 9 part 2,,,,,45874244.0,ns,810
day 9 part 2,,,,,46888271.0,ns,828
day 9 part 2,,,,,47896398.0,ns,846
day 9 part 2,,,,,48916327.0,ns,864
day 9 part 2,,,,,49940553.0,ns,882
day 9 part 2,,,,,50963282.0,ns,900
day 9 part 2,,,,,51994910.0,ns,918
day 9 part 2,,,,,52998437.0,ns,936
day 9 part 2,,,,,54015564.0,ns,954
day 9 part 2,,,,,55028592.0,ns,972
day 9 part 2,,,,,56041019.0,ns,990
day 9 part 2,,,,,57063647.0,ns,1008
day 9 part 2,,,,,58101875.0,ns,1026
day 9 part 2,,,,,59131003.0,ns,1044
day 9 part 2,,,,,60142931.0,ns,1062
day 9 part 2,,,,,61147041.0,ns,1080
day 9 part 2,,,,,62176373.0,ns,1098
day 9 part 2,,,,,63185890.0,ns,1116
day 9 part 2,,,,,64232709.0,ns,1134
day 9 part 2,,,,,65246926.0,ns,1152
day 9 part 2,,,,,66247844.0,ns,1170
day 9 part 2,,,,,67281561.0,ns,1188
day 9 part 2,,,,,68299879.0,ns,1206
day 9 part 2,,,,,69313896.0,ns,1224
day 9 part 2,,,,,70316214.0,ns,1242
day 9 part 2,,,,,71336131.0,ns,1260
day 9 part 2,,,,,72349148.0,ns,1278
day 9 part 2,,,,,73374867.0,ns,1296
day 9 part 2,,,,,74369483.0,ns,1314
day 9 part 2,,,,,75370501.0,ns,1332
day 9 part 2,,,,,76422519.0,ns,1350
day 9 part 2,,,,,77444337.0,ns,1368
day 9 part 2,,,,,78501155.0,ns,1386
day 9 part 2,,,,,79492272.0,ns,1404
day 9 part 2,,,,,80662192.0,ns,1422
day 9 part 2,,,,,81527907.0,ns,1440
day 9 part 2,,,,,82569825.0,ns,1458
day 9 part 2,,,,,83556942.0,ns,1476
day 9 part 2,,,,,84574960.0,ns,1494
day 9 part 2,,,,,85587277.0,ns,1512
day 9 part 2,,,,,86610795.0,ns,1530
day 9 part 2,,,,,87655013.0,ns,1548
day 9 part 2,,,,,88663030.0,ns,1566
day 9 part 2,,,,,89669848.0,ns,1584
day 9 part 2,,,,,90721565.0,ns,1602
day 9 part 2,,,,,91698483.0,ns,1620
day 9 part 2,,,,,92721000.0,ns,1638
day 9 part 2,,,,,93759819.0,ns,1656
day 9 part 2,,,,,94738135.0,ns,1674
day 9 part 2,,,,,95757352.0,ns,1692
day 9 part 2,,,,,96810271.0,ns,1710
day 9 part 2,,,,,97777488.0,ns,1728
day 9 part 2,,,,,98804405.0,ns,1746
day 9 part 2,,,,,99847723.0,ns,1764
day 9 part 2,,,,,100877141.0,ns,1782
day 9 part 2,,,,,101905959.0,ns,1800
