group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 2 part 1,,,,,1914131.0,ns,2
day 2 part 1,,,,,3853464.0,ns,4
day 2 part 1,,,,,5773295.0,ns,6
day 2 part 1,,,,,7545018.0,ns,8
day 2 part 1,,,,,9315838.0,ns,10
day 2 part 1,,,,,11280174.0,ns,12
day 2 part 1,,,,,12542560.0,ns,14
day 2 part 1,,,,,15069333.0,ns,16
day 2 part 1,,,,,17380591.0,ns,18
day 2 part 1,,,,,18448765.0,ns,20
day 2 part 1,,,,,24800900.0,ns,22
day 2 part 1,,,,,22413337.0,ns,24
day 2 part 1,,,,,23526213.0,ns,26
day 2 part 1,,,,,26637226.0,ns,28
day 2 part 1,,,,,27337874.0,ns,30
day 2 part 1,,,,,29219203.0,ns,32
day 2 part 1,,,,,30779610.0,ns,34
day 2 part 1,,,,,33401590.0,ns,36
day 2 part 1,,,,,35625242.0,ns,38
day 2 part 1,,,,,37196449.0,ns,40
day 2 part 1,,,,,42438409.0,ns,42
day 2 part 1,,,,,40741593.0,ns,44
day 2 part 1,,,,,44274035.0,ns,46
day 2 part 1,,,,,44416545.0,ns,48
day 2 part 1,,,,,46062658.0,ns,50
day 2 part 1,,,,,47119030.0,ns,52
day 2 part 1,,,,,49135869.0,ns,54
day 2 part 1,,,,,51032598.0,ns,56
day 2 part 1,,,,,52532101.0,ns,58
day 2 part 1,,,,,54408229.0,ns,60
day 2 part 1,,,,,56705588.0,ns,62
day 2 part 1,,,,,69440460.0,ns,64
day 2 part 1,,,,,60631857.0,ns,66
day 2 part 1,,,,,61788136.0,ns,68
day 2 part 1,,,,,63489752.0,ns,70
day 2 part 1,,,,,68085268.0,ns,72
day 2 part 1,,,,,66954890.0,ns,74
day 2 part 1,,,,,68848519.0,ns,76
day 2 part 1,,,,,70242815.0,ns,78
day 2 part 1,,,,,74749024.0,ns,80
day 2 part 1,,,,,77207693.0,ns,82
day 2 part 1,,,,,75915004.0,ns,84
day 2 part 1,,,,,78766200.0,ns,86
day 2 part 1,,,,,79661161.0,ns,88
day 2 part 1,,,,,81603994.0,ns,90
day 2 part 1,,,,,84183071.0,ns,92
day 2 part 1,,,,,87148174.0,ns,94
day 2 part 1,,,,,89424830.0,ns,96
day 2 part 1,,,,,88922496.0,ns,98
day 2 part 1,,,,,92885568.0,ns,100
day 2 part 1,,,,,95812468.0,ns,102
day 2 part 1,,,,,94277563.0,ns,104
day 2 part 1,,,,,96070486.0,ns,106
day 2 part 1,,,,,101769177.0,ns,108
day 2 part 1,,,,,99977753.0,ns,110
day 2 part 1,,,,,102537729.0,ns,112
day 2 part 1,,,,,113044749.0,ns,114
day 2 part 1,,,,,107983202.0,ns,116
day 2 part 1,,,,,107034038.0,ns,118
day 2 part 1,,,,,109895033.0,ns,120
day 2 part 1,,,,,110048244.0,ns,122
day 2 part 1,,,,,127724656.0,ns,124
day 2 part 1,,,,,114934379.0,ns,126
day 2 part 1,,,,,120157737.0,ns,128
day 2 part 1,,,,,117418549.0,ns,130
day 2 part 1,,,,,120077532.0,ns,132
day 2 part 1,,,,,121241611.0,ns,134
day 2 part 1,,,,,130390739.0,ns,136
day 2 part 1,,,,,124634044.0,ns,138
day 2 part 1,,,,,127158617.0,ns,140
day 2 part 1,,,,,129172455.0,ns,142
day 2 part 1,,,,,130378938.0,ns,144
day 2 part 1,,,,,136125332.0,ns,146
day 2 part 1,,,,,135035757.0,ns,148
day 2 part 1,,,,,136186724.0,ns,150
day 2 part 1,,,,,148130867.0,ns,152
day 2 part 1,,,,,142528420.0,ns,154
day 2 part 1,,,,,143770697.0,ns,156
day 2 part 1,,,,,146705879.0,ns,158
day 2 part 1,,,,,146666176.0,ns,160
day 2 part 1,,,,,152865260.0,ns,162
day 2 part 1,,,,,150210895.0,ns,164
day 2 part 1,,,,,156195667.0,ns,166
day 2 part 1,,,,,161484593.0,ns,168
day 2 part 1,,,,,156112261.0,ns,170
day 2 part 1,,,,,153452997.0,ns,172
day 2 part 1,,,,,155035094.0,ns,174
day 2 part 1,,,,,156808504.0,ns,176
day 2 part 1,,,,,158666219.0,ns,178
day 2 part 1,,,,,160378925.0,ns,180
day 2 part 1,,,,,162138534.0,ns,182
day 2 part 1,,,,,163895143.0,ns,184
day 2 part 1,,,,,165742757.0,ns,186
day 2 part 1,,,,,167453563.0,ns,188
day 2 part 1,,,,,169382182.0,ns,190
day 2 part 1,,,,,171083287.0,ns,192
day 2 part 1,,,,,172814095.0,ns,194
day 2 part 1,,,,,175047833.0,ns,196
day 2 part 1,,,,,176441419.0,ns,198
day 2 part 1,,,,,178225729.0,ns,200
